Study ID	Sample ID	Patient ID	Altered	AKR1C3	AKR1C3: MUT	AKR1C3: FUSION	AKR1C3: AMP	AKR1C3: HOMDEL
brca_metabric	MB-0157	MB-0157	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0163	MB-0163	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0200	MB-0200	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0206	MB-0206	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0249	MB-0249	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0259	MB-0259	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0278	MB-0278	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0328	MB-0328	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0340	MB-0340	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0358	MB-0358	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0381	MB-0381	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0400	MB-0400	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0582	MB-0582	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0658	MB-0658	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0663	MB-0663	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0664	MB-0664	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-0874	MB-0874	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-2742	MB-2742	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-2796	MB-2796	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-2912	MB-2912	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-2917	MB-2917	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-2953	MB-2953	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-2957	MB-2957	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-3016	MB-3016	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-3046	MB-3046	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-3063	MB-3063	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-3153	MB-3153	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-3211	MB-3211	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-3235	MB-3235	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-3297	MB-3297	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-3367	MB-3367	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-3386	MB-3386	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-3453	MB-3453	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-3467	MB-3467	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-3476	MB-3476	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4154	MB-4154	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4254	MB-4254	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4303	MB-4303	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4332	MB-4332	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4360	MB-4360	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4601	MB-4601	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4603	MB-4603	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4666	MB-4666	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4714	MB-4714	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4732	MB-4732	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4769	MB-4769	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4881	MB-4881	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4938	MB-4938	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-4945	MB-4945	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5008	MB-5008	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5019	MB-5019	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5102	MB-5102	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5173	MB-5173	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5208	MB-5208	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5229	MB-5229	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5231	MB-5231	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5258	MB-5258	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5292	MB-5292	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5295	MB-5295	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5346	MB-5346	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5414	MB-5414	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5442	MB-5442	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5465	MB-5465	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5468	MB-5468	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5482	MB-5482	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5526	MB-5526	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5529	MB-5529	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5551	MB-5551	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5565	MB-5565	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5566	MB-5566	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5624	MB-5624	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-5634	MB-5634	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-6059	MB-6059	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-6098	MB-6098	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-6131	MB-6131	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-6188	MB-6188	1	AMP	not profiled	not profiled	AMP	AMP
brca_metabric	MB-6223	MB-6223	1	AMP	not profiled	not profiled	AMP	AMP
