STUDY_ID	SAMPLE_ID	AKR1C3
brca_bccrc	SA018	NA
brca_bccrc	SA029	NA
brca_bccrc	SA030	NA
brca_bccrc	SA031	NA
brca_bccrc	SA051	NA
brca_bccrc	SA052	NA
brca_bccrc	SA053	NA
brca_bccrc	SA054	NA
brca_bccrc	SA055	NA
brca_bccrc	SA056	NA
brca_bccrc	SA063	NA
brca_bccrc	SA065	NA
brca_bccrc	SA067	NA
brca_bccrc	SA068	NA
brca_bccrc	SA069	NA
brca_bccrc	SA071	NA
brca_bccrc	SA072	NA
brca_bccrc	SA073	NA
brca_bccrc	SA074	NA
brca_bccrc	SA075	NA
brca_bccrc	SA076	NA
brca_bccrc	SA077	NA
brca_bccrc	SA080	NA
brca_bccrc	SA083	NA
brca_bccrc	SA084	NA
brca_bccrc	SA085	NA
brca_bccrc	SA089	NA
brca_bccrc	SA090	NA
brca_bccrc	SA092	NA
brca_bccrc	SA093	NA
brca_bccrc	SA094	NA
brca_bccrc	SA096	NA
brca_bccrc	SA097	NA
brca_bccrc	SA098	NA
brca_bccrc	SA099	NA
brca_bccrc	SA101	NA
brca_bccrc	SA102	NA
brca_bccrc	SA103	NA
brca_bccrc	SA106	NA
brca_bccrc	SA208	NA
brca_bccrc	SA210	NA
brca_bccrc	SA212	NA
brca_bccrc	SA213	NA
brca_bccrc	SA214	NA
brca_bccrc	SA215	NA
brca_bccrc	SA216	NA
brca_bccrc	SA217	NA
brca_bccrc	SA218	NA
brca_bccrc	SA219	NA
brca_bccrc	SA220	NA
brca_bccrc	SA222	NA
brca_bccrc	SA223	NA
brca_bccrc	SA224	NA
brca_bccrc	SA225	NA
brca_bccrc	SA226	NA
brca_bccrc	SA227	NA
brca_bccrc	SA228	NA
brca_bccrc	SA229	NA
brca_bccrc	SA230	NA
brca_bccrc	SA231	NA
brca_bccrc	SA233	NA
brca_bccrc	SA234	NA
brca_bccrc	SA235	NA
brca_bccrc	SA236	NA
brca_bccrc	SA237	NA
brca_igr_2015	MBC_182	1
brca_igr_2015	MBC_183	0
brca_igr_2015	MBC_184	0
brca_igr_2015	MBC_185	0
brca_igr_2015	MBC_186	0
brca_igr_2015	MBC_187	0
brca_igr_2015	MBC_188	1
brca_igr_2015	MBC_189	0
brca_igr_2015	MBC_190	0
brca_igr_2015	MBC_191	0
brca_igr_2015	MBC_192	0
brca_igr_2015	MBC_193	-1
brca_igr_2015	MBC_194	0
brca_igr_2015	MBC_195	1
brca_igr_2015	MBC_196	0
brca_igr_2015	MBC_197	0
brca_igr_2015	MBC_198	0
brca_igr_2015	MBC_199	0
brca_igr_2015	MBC_200	0
brca_igr_2015	MBC_201	0
brca_igr_2015	MBC_202	1
brca_igr_2015	MBC_203	1
brca_igr_2015	MBC_204	-1
brca_igr_2015	MBC_205	2
brca_igr_2015	MBC_206	1
brca_igr_2015	MBC_207	0
brca_igr_2015	MBC_208	0
brca_igr_2015	MBC_209	0
brca_igr_2015	MBC_210	0
brca_igr_2015	MBC_211	0
brca_igr_2015	MBC_212	1
brca_igr_2015	MBC_213	0
brca_igr_2015	MBC_214	0
brca_igr_2015	MBC_215	1
brca_igr_2015	MBC_216	0
brca_igr_2015	MBC_81	0
brca_igr_2015	MBC_82	1
brca_igr_2015	MBC_83	0
brca_igr_2015	MBC_84	-1
brca_igr_2015	MBC_85	-1
brca_igr_2015	MBC_86	0
brca_igr_2015	MBC_87	0
brca_igr_2015	MBC_88	0
brca_igr_2015	MBC_89	0
brca_igr_2015	MBC_90	0
brca_igr_2015	MBC_91	0
brca_igr_2015	MBC_92	0
brca_igr_2015	MBC_93	1
brca_igr_2015	MBC_94	0
brca_igr_2015	MBC_95	0
brca_igr_2015	MBC_96	0
brca_igr_2015	MBC_97	0
brca_igr_2015	MBC_98	0
brca_igr_2015	MBC_99	-1
brca_igr_2015	MBC_100	0
brca_igr_2015	MBC_101	0
brca_igr_2015	MBC_102	0
brca_igr_2015	MBC_103	0
brca_igr_2015	MBC_104	-1
brca_igr_2015	MBC_105	0
brca_igr_2015	MBC_106	0
brca_igr_2015	MBC_107	0
brca_igr_2015	MBC_108	1
brca_igr_2015	MBC_109	0
brca_igr_2015	MBC_110	0
brca_igr_2015	MBC_111	-1
brca_igr_2015	MBC_112	1
brca_igr_2015	MBC_113	1
brca_igr_2015	MBC_114	0
brca_igr_2015	MBC_115	1
brca_igr_2015	MBC_116	0
brca_igr_2015	MBC_117	2
brca_igr_2015	MBC_118	1
brca_igr_2015	MBC_119	1
brca_igr_2015	MBC_120	0
brca_igr_2015	MBC_121	0
brca_igr_2015	MBC_122	0
brca_igr_2015	MBC_123	1
brca_igr_2015	MBC_124	1
brca_igr_2015	MBC_125	0
brca_igr_2015	MBC_126	0
brca_igr_2015	MBC_127	1
brca_igr_2015	MBC_128	-1
brca_igr_2015	MBC_129	0
brca_igr_2015	MBC_130	0
brca_igr_2015	MBC_131	0
brca_igr_2015	MBC_132	1
brca_igr_2015	MBC_133	1
brca_igr_2015	MBC_134	1
brca_igr_2015	MBC_135	0
brca_igr_2015	MBC_136	-1
brca_igr_2015	MBC_137	1
brca_igr_2015	MBC_138	-1
brca_igr_2015	MBC_139	0
brca_igr_2015	MBC_140	0
brca_igr_2015	MBC_141	1
brca_igr_2015	MBC_142	1
brca_igr_2015	MBC_143	1
brca_igr_2015	MBC_144	0
brca_igr_2015	MBC_145	0
brca_igr_2015	MBC_146	1
brca_igr_2015	MBC_147	1
brca_igr_2015	MBC_148	0
brca_igr_2015	MBC_149	0
brca_igr_2015	MBC_150	0
brca_igr_2015	MBC_151	0
brca_igr_2015	MBC_152	1
brca_igr_2015	MBC_153	0
brca_igr_2015	MBC_154	0
brca_igr_2015	MBC_155	1
brca_igr_2015	MBC_156	0
brca_igr_2015	MBC_157	0
brca_igr_2015	MBC_158	0
brca_igr_2015	MBC_159	1
brca_igr_2015	MBC_160	0
brca_igr_2015	MBC_161	0
brca_igr_2015	MBC_162	0
brca_igr_2015	MBC_163	0
brca_igr_2015	MBC_164	2
brca_igr_2015	MBC_165	0
brca_igr_2015	MBC_166	0
brca_igr_2015	MBC_167	0
brca_igr_2015	MBC_168	1
brca_igr_2015	MBC_169	0
brca_igr_2015	MBC_170	0
brca_igr_2015	MBC_171	0
brca_igr_2015	MBC_172	0
brca_igr_2015	MBC_173	0
brca_igr_2015	MBC_174	0
brca_igr_2015	MBC_175	0
brca_igr_2015	MBC_176	0
brca_igr_2015	MBC_177	1
brca_igr_2015	MBC_178	1
brca_igr_2015	MBC_179	0
brca_igr_2015	MBC_180	0
brca_igr_2015	MBC_181	1
brca_igr_2015	MBC_1	0
brca_igr_2015	MBC_2	0
brca_igr_2015	MBC_3	0
brca_igr_2015	MBC_4	0
brca_igr_2015	MBC_5	2
brca_igr_2015	MBC_6	0
brca_igr_2015	MBC_7	0
brca_igr_2015	MBC_8	0
brca_igr_2015	MBC_9	1
brca_igr_2015	MBC_10	2
brca_igr_2015	MBC_11	2
brca_igr_2015	MBC_12	0
brca_igr_2015	MBC_13	1
brca_igr_2015	MBC_14	1
brca_igr_2015	MBC_15	1
brca_igr_2015	MBC_16	2
brca_igr_2015	MBC_17	0
brca_igr_2015	MBC_18	0
brca_igr_2015	MBC_19	1
brca_igr_2015	MBC_20	1
brca_igr_2015	MBC_21	2
brca_igr_2015	MBC_22	0
brca_igr_2015	MBC_23	1
brca_igr_2015	MBC_24	0
brca_igr_2015	MBC_25	1
brca_igr_2015	MBC_26	2
brca_igr_2015	MBC_27	2
brca_igr_2015	MBC_28	0
brca_igr_2015	MBC_29	1
brca_igr_2015	MBC_30	0
brca_igr_2015	MBC_31	-1
brca_igr_2015	MBC_32	1
brca_igr_2015	MBC_33	1
brca_igr_2015	MBC_34	1
brca_igr_2015	MBC_35	1
brca_igr_2015	MBC_36	0
brca_igr_2015	MBC_37	0
brca_igr_2015	MBC_38	1
brca_igr_2015	MBC_39	1
brca_igr_2015	MBC_40	0
brca_igr_2015	MBC_41	2
brca_igr_2015	MBC_42	1
brca_igr_2015	MBC_43	1
brca_igr_2015	MBC_44	1
brca_igr_2015	MBC_45	1
brca_igr_2015	MBC_46	1
brca_igr_2015	MBC_47	1
brca_igr_2015	MBC_48	2
brca_igr_2015	MBC_49	0
brca_igr_2015	MBC_50	0
brca_igr_2015	MBC_51	0
brca_igr_2015	MBC_52	0
brca_igr_2015	MBC_53	0
brca_igr_2015	MBC_54	1
brca_igr_2015	MBC_55	2
brca_igr_2015	MBC_56	0
brca_igr_2015	MBC_57	0
brca_igr_2015	MBC_58	0
brca_igr_2015	MBC_59	1
brca_igr_2015	MBC_60	1
brca_igr_2015	MBC_61	0
brca_igr_2015	MBC_62	0
brca_igr_2015	MBC_63	0
brca_igr_2015	MBC_64	0
brca_igr_2015	MBC_65	0
brca_igr_2015	MBC_66	2
brca_igr_2015	MBC_67	2
brca_igr_2015	MBC_68	1
brca_igr_2015	MBC_69	1
brca_igr_2015	MBC_70	1
brca_igr_2015	MBC_71	0
brca_igr_2015	MBC_72	0
brca_igr_2015	MBC_73	0
brca_igr_2015	MBC_74	0
brca_igr_2015	MBC_75	0
brca_igr_2015	MBC_76	0
brca_igr_2015	MBC_77	0
brca_igr_2015	MBC_78	0
brca_igr_2015	MBC_79	1
brca_igr_2015	MBC_80	1
brca_mbcproject_wagle_2017	MBC-MBCProject_GvHkH2Hk-Tumor-SM-AZ5H9	0
brca_mbcproject_wagle_2017	MBC-MBCProject_N4srsKsr-Tumor-SM-CGMGK	0
brca_mbcproject_wagle_2017	MBC-MBCProject_N4srsKsr-Tumor-SM-CGLTK	0
brca_mbcproject_wagle_2017	MBC-MBCProject_K7f6fdUz-Tumor-SM-AZ5MA	1
brca_mbcproject_wagle_2017	MBC-MBCProject_xBfJfri9-Tumor-SM-CGL4F	0
brca_mbcproject_wagle_2017	MBC-MBCProject_QbiZiytx-Tumor-SM-CGMH7	0
brca_mbcproject_wagle_2017	MBC-MBCProject_QbiZiytx-Tumor-SM-CGM9N	0
brca_mbcproject_wagle_2017	MBC-MBCProject_VrsMsqTb-Tumor-SM-CGLRO	0
brca_mbcproject_wagle_2017	MBC-MBCProject_K0UDUnFE-Tumor-SM-AZ5FD	0
brca_mbcproject_wagle_2017	MBC-MBCProject_RKf1frsr-Tumor-SM-AZ5L1	2
brca_mbcproject_wagle_2017	MBC-MBCProject_kwS1CXSR-Tumor-SM-DL4SG	0
brca_mbcproject_wagle_2017	MBC-MBCProject_gotjfgf0-Tumor-SM-CGL7K	0
brca_mbcproject_wagle_2017	MBC-MBCProject_3jhES9fq-Tumor-SM-AXGIU	0
brca_mbcproject_wagle_2017	MBC-MBCProject_rmSBIguN-Tumor-SM-DL385	0
