STUDY_ID	SAMPLE_ID	AKR1C3
brca_metabric	MB-0000	1.799
brca_metabric	MB-0002	-0.7417
brca_metabric	MB-0005	-0.5207
brca_metabric	MB-0006	-0.6932
brca_metabric	MB-0008	-0.0206
brca_metabric	MB-0010	0.0636
brca_metabric	MB-0014	1.0849
brca_metabric	MB-0022	1.434
brca_metabric	MB-0028	-0.3708
brca_metabric	MB-0035	-2.5937
brca_metabric	MB-0036	0.515
brca_metabric	MB-0039	1.4814
brca_metabric	MB-0045	0.3962
brca_metabric	MB-0046	0.5332
brca_metabric	MB-0048	0.9254
brca_metabric	MB-0050	0.1579
brca_metabric	MB-0053	1.7661
brca_metabric	MB-0054	0.1378
brca_metabric	MB-0056	1.3476
brca_metabric	MB-0060	-1.2247
brca_metabric	MB-0062	-0.747
brca_metabric	MB-0064	0.8872
brca_metabric	MB-0066	0.8843
brca_metabric	MB-0068	0.7704
brca_metabric	MB-0079	0.6637
brca_metabric	MB-0081	0.0975
brca_metabric	MB-0083	1.2008
brca_metabric	MB-0093	-0.0747
brca_metabric	MB-0095	-1.1352
brca_metabric	MB-0097	-1.0139
brca_metabric	MB-0100	-0.2986
brca_metabric	MB-0101	0.0866
brca_metabric	MB-0102	-0.6865
brca_metabric	MB-0106	-0.6035
brca_metabric	MB-0107	-0.5852
brca_metabric	MB-0108	1.4566
brca_metabric	MB-0109	-1.8091
brca_metabric	MB-0111	0.0166
brca_metabric	MB-0112	0.3433
brca_metabric	MB-0113	-0.9319
brca_metabric	MB-0114	-0.8472
brca_metabric	MB-0115	-0.0077
brca_metabric	MB-0116	0.3145
brca_metabric	MB-0117	0.8763
brca_metabric	MB-0119	-0.6816
brca_metabric	MB-0120	-0.3378
brca_metabric	MB-0121	-0.6845
brca_metabric	MB-0122	0.0461
brca_metabric	MB-0123	0.3117
brca_metabric	MB-0124	1.1841
brca_metabric	MB-0125	0.7348
brca_metabric	MB-0126	-1.2448
brca_metabric	MB-0127	0.2708
brca_metabric	MB-0128	0.7695
brca_metabric	MB-0129	-0.2933
brca_metabric	MB-0130	0.2072
brca_metabric	MB-0131	-2.0649
brca_metabric	MB-0133	0.845
brca_metabric	MB-0134	0.0963
brca_metabric	MB-0135	0.2134
brca_metabric	MB-0136	0.3883
brca_metabric	MB-0138	1.1946
brca_metabric	MB-0139	0.8944
brca_metabric	MB-0140	-0.3371
brca_metabric	MB-0142	-0.2229
brca_metabric	MB-0143	-0.4168
brca_metabric	MB-0144	-0.6267
brca_metabric	MB-0145	0.8544
brca_metabric	MB-0146	-2.0565
brca_metabric	MB-0147	-0.4501
brca_metabric	MB-0148	0.1986
brca_metabric	MB-0149	-1.6507
brca_metabric	MB-0150	0.0479
brca_metabric	MB-0151	-0.2827
brca_metabric	MB-0152	0.187
brca_metabric	MB-0154	0.4311
brca_metabric	MB-0155	1.2737
brca_metabric	MB-0157	1.5229
brca_metabric	MB-0162	-0.2232
brca_metabric	MB-0163	-0.3027
brca_metabric	MB-0164	-2.5339
brca_metabric	MB-0165	0.0987
brca_metabric	MB-0166	0.5701
brca_metabric	MB-0167	-0.4491
brca_metabric	MB-0168	0.4981
brca_metabric	MB-0170	0.5737
brca_metabric	MB-0171	1.0746
brca_metabric	MB-0172	0.4229
brca_metabric	MB-0173	-1.7455
brca_metabric	MB-0174	-0.4447
brca_metabric	MB-0175	3.7139
brca_metabric	MB-0176	0.2024
brca_metabric	MB-0177	0.8343
brca_metabric	MB-0178	-0.0315
brca_metabric	MB-0179	1.0353
brca_metabric	MB-0180	0.2535
brca_metabric	MB-0181	1.042
brca_metabric	MB-0184	-0.6726
brca_metabric	MB-0188	-1.5957
brca_metabric	MB-0189	1.1889
brca_metabric	MB-0191	-1.8136
brca_metabric	MB-0192	0.166
brca_metabric	MB-0193	1.1237
brca_metabric	MB-0194	0.3702
brca_metabric	MB-0195	0.2986
brca_metabric	MB-0197	-1.2592
brca_metabric	MB-0198	-0.0905
brca_metabric	MB-0199	1.4234
brca_metabric	MB-0200	-1.4279
brca_metabric	MB-0201	0.9444
brca_metabric	MB-0202	-0.7529
brca_metabric	MB-0203	0.6422
brca_metabric	MB-0204	0.4656
brca_metabric	MB-0205	1.8937
brca_metabric	MB-0206	-0.8426
brca_metabric	MB-0207	-0.1285
brca_metabric	MB-0209	1.177
brca_metabric	MB-0211	-0.0195
brca_metabric	MB-0214	1.8445
brca_metabric	MB-0215	0.5434
brca_metabric	MB-0218	-0.1353
brca_metabric	MB-0220	1.1072
brca_metabric	MB-0221	0.2118
brca_metabric	MB-0222	0.3388
brca_metabric	MB-0223	-0.0325
brca_metabric	MB-0224	0.3808
brca_metabric	MB-0225	-0.6309
brca_metabric	MB-0226	1.1409
brca_metabric	MB-0227	1.1181
brca_metabric	MB-0228	1.3205
brca_metabric	MB-0229	-0.5803
brca_metabric	MB-0230	0.235
brca_metabric	MB-0231	-0.6768
brca_metabric	MB-0232	-0.7161
brca_metabric	MB-0233	0.0014
brca_metabric	MB-0234	-0.3436
brca_metabric	MB-0235	0.7425
brca_metabric	MB-0236	0.1553
brca_metabric	MB-0238	-0.3876
brca_metabric	MB-0239	1.4076
brca_metabric	MB-0241	0.3579
brca_metabric	MB-0242	-0.4367
brca_metabric	MB-0243	1.6601
brca_metabric	MB-0244	-0.2471
brca_metabric	MB-0245	0.3586
brca_metabric	MB-0247	0.0526
brca_metabric	MB-0248	1.3253
brca_metabric	MB-0249	1.5285
brca_metabric	MB-0253	-0.6777
brca_metabric	MB-0256	0.1078
brca_metabric	MB-0257	-0.0866
brca_metabric	MB-0258	1.2537
brca_metabric	MB-0259	-2.7862
brca_metabric	MB-0260	0.5521
brca_metabric	MB-0261	-0.267
brca_metabric	MB-0262	-0.1206
brca_metabric	MB-0263	0.5529
brca_metabric	MB-0264	-1.2979
brca_metabric	MB-0265	1.4862
brca_metabric	MB-0266	1.0471
brca_metabric	MB-0268	-0.9378
brca_metabric	MB-0269	1.1829
brca_metabric	MB-0270	-0.8638
brca_metabric	MB-0272	0.6591
brca_metabric	MB-0273	0.6729
brca_metabric	MB-0275	1.6363
brca_metabric	MB-0278	0.5584
brca_metabric	MB-0279	0.9628
brca_metabric	MB-0280	0.0826
brca_metabric	MB-0282	1.4369
brca_metabric	MB-0284	1.0027
brca_metabric	MB-0285	2.8441
brca_metabric	MB-0286	1.6489
brca_metabric	MB-0287	-1.5353
brca_metabric	MB-0288	0.4031
brca_metabric	MB-0289	0.9802
brca_metabric	MB-0290	-0.3544
brca_metabric	MB-0291	-0.0721
brca_metabric	MB-0292	-1.3239
brca_metabric	MB-0293	1.1036
brca_metabric	MB-0294	0.4505
brca_metabric	MB-0295	0.3019
brca_metabric	MB-0301	1.1884
brca_metabric	MB-0302	1.0822
brca_metabric	MB-0303	-0.1676
brca_metabric	MB-0304	-1.6838
brca_metabric	MB-0305	0.8298
brca_metabric	MB-0306	-0.4223
brca_metabric	MB-0307	0.1095
brca_metabric	MB-0308	0.3031
brca_metabric	MB-0309	-0.7734
brca_metabric	MB-0310	1.1179
brca_metabric	MB-0311	-0.971
brca_metabric	MB-0312	0.1139
brca_metabric	MB-0313	-1.3778
brca_metabric	MB-0314	1.848
brca_metabric	MB-0315	0.2477
brca_metabric	MB-0316	-0.139
brca_metabric	MB-0317	0.72
brca_metabric	MB-0318	0.471
brca_metabric	MB-0319	-1.3519
brca_metabric	MB-0320	1.2236
brca_metabric	MB-0321	-1.1156
brca_metabric	MB-0322	-0.0585
brca_metabric	MB-0324	-0.4564
brca_metabric	MB-0325	-1.6727
brca_metabric	MB-0328	-0.3468
brca_metabric	MB-0336	0.0212
brca_metabric	MB-0339	-1.3573
brca_metabric	MB-0340	-1.915
brca_metabric	MB-0341	0.3949
brca_metabric	MB-0342	1.4973
brca_metabric	MB-0343	0.3388
brca_metabric	MB-0344	0.95
brca_metabric	MB-0345	0.4108
brca_metabric	MB-0346	0.7716
brca_metabric	MB-0348	-0.1056
brca_metabric	MB-0349	-0.5235
brca_metabric	MB-0350	-0.1234
brca_metabric	MB-0352	-0.7118
brca_metabric	MB-0353	2.1347
brca_metabric	MB-0354	-0.1076
brca_metabric	MB-0356	0.258
brca_metabric	MB-0358	0.1869
brca_metabric	MB-0359	0.942
brca_metabric	MB-0360	-0.446
brca_metabric	MB-0361	-0.3017
brca_metabric	MB-0362	0.2386
brca_metabric	MB-0363	-0.9655
brca_metabric	MB-0364	0.7336
brca_metabric	MB-0365	0.0776
brca_metabric	MB-0366	0.371
brca_metabric	MB-0367	0.8199
brca_metabric	MB-0368	-1.0059
brca_metabric	MB-0369	-0.0854
brca_metabric	MB-0370	-0.9596
brca_metabric	MB-0371	1.0051
brca_metabric	MB-0372	-0.1867
brca_metabric	MB-0373	-0.9466
brca_metabric	MB-0374	-0.7866
brca_metabric	MB-0375	-0.2729
brca_metabric	MB-0377	1.0655
brca_metabric	MB-0378	-1.6976
brca_metabric	MB-0379	0.9496
brca_metabric	MB-0380	-2.7258
brca_metabric	MB-0381	1.9194
brca_metabric	MB-0382	0.4315
brca_metabric	MB-0383	0.8256
brca_metabric	MB-0384	-0.7962
brca_metabric	MB-0385	-0.3956
brca_metabric	MB-0386	1.0029
brca_metabric	MB-0388	0.4422
brca_metabric	MB-0389	-1.783
brca_metabric	MB-0391	-0.3266
brca_metabric	MB-0392	0.7843
brca_metabric	MB-0393	0.6727
brca_metabric	MB-0394	0.4896
brca_metabric	MB-0395	0.1749
brca_metabric	MB-0396	-2.4913
brca_metabric	MB-0397	-0.6174
brca_metabric	MB-0398	-0.4898
brca_metabric	MB-0399	1.8359
brca_metabric	MB-0400	-0.356
brca_metabric	MB-0401	0.4308
brca_metabric	MB-0402	1.3326
brca_metabric	MB-0404	-0.1294
brca_metabric	MB-0406	-0.008
brca_metabric	MB-0410	0.8713
brca_metabric	MB-0411	-0.033
brca_metabric	MB-0412	-0.9674
brca_metabric	MB-0413	-0.0705
brca_metabric	MB-0414	-1.7512
brca_metabric	MB-0417	-0.6544
brca_metabric	MB-0418	-0.469
brca_metabric	MB-0419	0.0367
brca_metabric	MB-0420	2.557
brca_metabric	MB-0421	-0.8353
brca_metabric	MB-0422	0.0797
brca_metabric	MB-0424	1.7765
brca_metabric	MB-0425	0.7959
brca_metabric	MB-0426	0.363
brca_metabric	MB-0427	-0.6599
brca_metabric	MB-0428	-0.3574
brca_metabric	MB-0429	-0.1424
brca_metabric	MB-0431	1.1236
brca_metabric	MB-0434	-0.936
brca_metabric	MB-0436	0.9381
brca_metabric	MB-0437	0.2656
brca_metabric	MB-0438	-0.5261
brca_metabric	MB-0439	-0.647
brca_metabric	MB-0440	0.0457
brca_metabric	MB-0442	0.7356
brca_metabric	MB-0443	1.0225
brca_metabric	MB-0444	0.0137
brca_metabric	MB-0445	-1.2793
brca_metabric	MB-0446	-2.2026
brca_metabric	MB-0449	-0.0352
brca_metabric	MB-0451	-0.3204
brca_metabric	MB-0452	-0.2692
brca_metabric	MB-0453	1.8039
brca_metabric	MB-0454	-0.1958
brca_metabric	MB-0455	-0.1035
brca_metabric	MB-0458	0.7339
brca_metabric	MB-0459	-0.3229
brca_metabric	MB-0460	1.5771
brca_metabric	MB-0462	-1.025
brca_metabric	MB-0463	-0.9989
brca_metabric	MB-0464	-0.0067
brca_metabric	MB-0465	-0.8636
brca_metabric	MB-0466	1.004
brca_metabric	MB-0467	-1.4366
brca_metabric	MB-0468	-0.3271
brca_metabric	MB-0469	-0.5885
brca_metabric	MB-0470	-0.6481
brca_metabric	MB-0471	0
brca_metabric	MB-0472	-1.3839
brca_metabric	MB-0474	-0.1673
brca_metabric	MB-0475	-0.1028
brca_metabric	MB-0476	0.9651
brca_metabric	MB-0478	1.3985
brca_metabric	MB-0479	0.0898
brca_metabric	MB-0480	-0.9191
brca_metabric	MB-0481	-0.1553
brca_metabric	MB-0482	1.409
brca_metabric	MB-0483	-0.0359
brca_metabric	MB-0484	-0.4029
brca_metabric	MB-0485	1.9861
brca_metabric	MB-0486	1.0306
brca_metabric	MB-0487	1.8193
brca_metabric	MB-0488	1.5313
brca_metabric	MB-0489	0.7739
brca_metabric	MB-0490	-0.337
brca_metabric	MB-0491	-0.12
brca_metabric	MB-0492	-1.638
brca_metabric	MB-0494	-1.6056
brca_metabric	MB-0495	-0.9817
brca_metabric	MB-0496	1.6391
brca_metabric	MB-0497	0.0274
brca_metabric	MB-0500	0.58
brca_metabric	MB-0501	-1.2779
brca_metabric	MB-0502	1.2684
brca_metabric	MB-0503	0.574
brca_metabric	MB-0504	0.5095
brca_metabric	MB-0505	1.123
brca_metabric	MB-0506	-2.053
brca_metabric	MB-0507	1.0604
brca_metabric	MB-0508	1.7661
brca_metabric	MB-0509	0.0195
brca_metabric	MB-0510	-0.0668
brca_metabric	MB-0511	0.8734
brca_metabric	MB-0512	-0.2375
brca_metabric	MB-0513	-1.2785
brca_metabric	MB-0514	-0.8796
brca_metabric	MB-0516	0.8833
brca_metabric	MB-0517	0.6213
brca_metabric	MB-0519	0.2611
brca_metabric	MB-0521	0.5018
brca_metabric	MB-0522	0.9023
brca_metabric	MB-0524	0.6164
brca_metabric	MB-0525	0.1323
brca_metabric	MB-0526	-0.49
brca_metabric	MB-0527	1.3399
brca_metabric	MB-0528	-1.8014
brca_metabric	MB-0529	-0.0228
brca_metabric	MB-0531	0.9751
brca_metabric	MB-0532	0.3317
brca_metabric	MB-0534	0.9862
brca_metabric	MB-0535	0.4031
brca_metabric	MB-0536	0.5027
brca_metabric	MB-0537	1.9065
brca_metabric	MB-0538	0.8771
brca_metabric	MB-0540	-0.5767
brca_metabric	MB-0541	-0.2423
brca_metabric	MB-0542	0.4097
brca_metabric	MB-0544	0.0096
brca_metabric	MB-0545	0.4698
brca_metabric	MB-0550	-0.0425
brca_metabric	MB-0551	1.2827
brca_metabric	MB-0552	-0.1013
brca_metabric	MB-0553	-0.8876
brca_metabric	MB-0554	-1.0068
brca_metabric	MB-0558	0.0801
brca_metabric	MB-0559	-1.4445
brca_metabric	MB-0568	1.5362
brca_metabric	MB-0569	-0.2695
brca_metabric	MB-0570	-1.5856
brca_metabric	MB-0571	-0.6034
brca_metabric	MB-0573	1.1311
brca_metabric	MB-0574	0.3299
brca_metabric	MB-0575	0.5274
brca_metabric	MB-0576	-0.5635
brca_metabric	MB-0577	-2.1841
brca_metabric	MB-0578	1.0674
brca_metabric	MB-0579	0.3312
brca_metabric	MB-0580	-0.5029
brca_metabric	MB-0581	0.4988
brca_metabric	MB-0582	-1.3675
brca_metabric	MB-0583	-0.202
brca_metabric	MB-0584	-0.2127
brca_metabric	MB-0585	1.5038
brca_metabric	MB-0586	0.5429
brca_metabric	MB-0587	-0.66
brca_metabric	MB-0588	2.6041
brca_metabric	MB-0589	1.5044
brca_metabric	MB-0590	-1.3079
brca_metabric	MB-0591	-0.4493
brca_metabric	MB-0593	0.0228
brca_metabric	MB-0594	0.0571
brca_metabric	MB-0596	0.3285
brca_metabric	MB-0597	1.5826
brca_metabric	MB-0598	1.0343
brca_metabric	MB-0599	0.5343
brca_metabric	MB-0600	-0.0049
brca_metabric	MB-0601	-0.9326
brca_metabric	MB-0603	-0.3244
brca_metabric	MB-0605	0.3526
brca_metabric	MB-0606	-2.0008
brca_metabric	MB-0607	0.3494
brca_metabric	MB-0608	1.3586
brca_metabric	MB-0609	-0.7284
brca_metabric	MB-0610	-0.0079
brca_metabric	MB-0611	0.0549
brca_metabric	MB-0613	0.4822
brca_metabric	MB-0614	0.8456
brca_metabric	MB-0615	1.3033
brca_metabric	MB-0616	-0.7233
