STUDY_ID	SAMPLE_ID	AKR1C3
brca_bccrc	SA018	NA
brca_bccrc	SA029	NA
brca_bccrc	SA030	NA
brca_bccrc	SA031	NA
brca_bccrc	SA051	NA
brca_bccrc	SA052	NA
brca_bccrc	SA053	NA
brca_bccrc	SA054	NA
brca_bccrc	SA055	NA
brca_bccrc	SA056	NA
brca_bccrc	SA063	NA
brca_bccrc	SA065	NA
brca_bccrc	SA067	NA
brca_bccrc	SA068	NA
brca_bccrc	SA069	NA
brca_bccrc	SA071	NA
brca_bccrc	SA072	NA
brca_bccrc	SA073	NA
brca_bccrc	SA074	NA
brca_bccrc	SA075	NA
brca_bccrc	SA076	NA
brca_bccrc	SA077	NA
brca_bccrc	SA080	NA
brca_bccrc	SA083	NA
brca_bccrc	SA084	NA
brca_bccrc	SA085	NA
brca_bccrc	SA089	NA
brca_bccrc	SA090	NA
brca_bccrc	SA092	NA
brca_bccrc	SA093	NA
brca_bccrc	SA094	NA
brca_bccrc	SA096	NA
brca_bccrc	SA097	NA
brca_bccrc	SA098	NA
brca_bccrc	SA099	NA
brca_bccrc	SA101	NA
brca_bccrc	SA102	NA
brca_bccrc	SA103	NA
brca_bccrc	SA106	NA
brca_bccrc	SA208	NA
brca_bccrc	SA210	NA
brca_bccrc	SA212	NA
brca_bccrc	SA213	NA
brca_bccrc	SA214	NA
brca_bccrc	SA215	NA
brca_bccrc	SA216	NA
brca_bccrc	SA217	NA
brca_bccrc	SA218	NA
brca_bccrc	SA219	NA
brca_bccrc	SA220	NA
brca_bccrc	SA222	NA
brca_bccrc	SA223	NA
brca_bccrc	SA224	NA
brca_bccrc	SA225	NA
brca_bccrc	SA226	NA
brca_bccrc	SA227	NA
brca_bccrc	SA228	NA
brca_bccrc	SA229	NA
brca_bccrc	SA230	NA
brca_bccrc	SA231	NA
brca_bccrc	SA233	NA
brca_bccrc	SA234	NA
brca_bccrc	SA235	NA
brca_bccrc	SA236	NA
brca_bccrc	SA237	NA
brca_igr_2015	MBC_182	NA
brca_igr_2015	MBC_183	NA
brca_igr_2015	MBC_184	NA
brca_igr_2015	MBC_185	NA
brca_igr_2015	MBC_186	NA
brca_igr_2015	MBC_187	NA
brca_igr_2015	MBC_188	NA
brca_igr_2015	MBC_189	NA
brca_igr_2015	MBC_190	NA
brca_igr_2015	MBC_191	NA
brca_igr_2015	MBC_192	NA
brca_igr_2015	MBC_193	NA
brca_igr_2015	MBC_194	NA
brca_igr_2015	MBC_195	NA
brca_igr_2015	MBC_196	NA
brca_igr_2015	MBC_197	NA
brca_igr_2015	MBC_198	NA
brca_igr_2015	MBC_199	NA
brca_igr_2015	MBC_200	NA
brca_igr_2015	MBC_201	NA
brca_igr_2015	MBC_202	NA
brca_igr_2015	MBC_203	NA
brca_igr_2015	MBC_204	NA
brca_igr_2015	MBC_205	NA
brca_igr_2015	MBC_206	NA
brca_igr_2015	MBC_207	NA
brca_igr_2015	MBC_208	NA
brca_igr_2015	MBC_209	NA
brca_igr_2015	MBC_210	NA
brca_igr_2015	MBC_211	NA
brca_igr_2015	MBC_212	NA
brca_igr_2015	MBC_213	NA
brca_igr_2015	MBC_214	NA
brca_igr_2015	MBC_215	NA
brca_igr_2015	MBC_216	NA
brca_igr_2015	MBC_81	NA
brca_igr_2015	MBC_82	NA
brca_igr_2015	MBC_83	NA
brca_igr_2015	MBC_84	NA
brca_igr_2015	MBC_85	NA
brca_igr_2015	MBC_86	NA
brca_igr_2015	MBC_87	NA
brca_igr_2015	MBC_88	NA
brca_igr_2015	MBC_89	NA
brca_igr_2015	MBC_90	NA
brca_igr_2015	MBC_91	NA
brca_igr_2015	MBC_92	NA
brca_igr_2015	MBC_93	NA
brca_igr_2015	MBC_94	NA
brca_igr_2015	MBC_95	NA
brca_igr_2015	MBC_96	NA
brca_igr_2015	MBC_97	NA
brca_igr_2015	MBC_98	NA
brca_igr_2015	MBC_99	NA
brca_igr_2015	MBC_100	NA
brca_igr_2015	MBC_101	NA
brca_igr_2015	MBC_102	NA
brca_igr_2015	MBC_103	NA
brca_igr_2015	MBC_104	NA
brca_igr_2015	MBC_105	NA
brca_igr_2015	MBC_106	NA
brca_igr_2015	MBC_107	NA
brca_igr_2015	MBC_108	NA
brca_igr_2015	MBC_109	NA
brca_igr_2015	MBC_110	NA
brca_igr_2015	MBC_111	NA
brca_igr_2015	MBC_112	NA
brca_igr_2015	MBC_113	NA
brca_igr_2015	MBC_114	NA
brca_igr_2015	MBC_115	NA
brca_igr_2015	MBC_116	NA
brca_igr_2015	MBC_117	NA
brca_igr_2015	MBC_118	NA
brca_igr_2015	MBC_119	NA
brca_igr_2015	MBC_120	NA
brca_igr_2015	MBC_121	NA
brca_igr_2015	MBC_122	NA
brca_igr_2015	MBC_123	NA
brca_igr_2015	MBC_124	NA
brca_igr_2015	MBC_125	NA
brca_igr_2015	MBC_126	NA
brca_igr_2015	MBC_127	NA
brca_igr_2015	MBC_128	NA
brca_igr_2015	MBC_129	NA
brca_igr_2015	MBC_130	NA
brca_igr_2015	MBC_131	NA
brca_igr_2015	MBC_132	NA
brca_igr_2015	MBC_133	NA
brca_igr_2015	MBC_134	NA
brca_igr_2015	MBC_135	NA
brca_igr_2015	MBC_136	NA
brca_igr_2015	MBC_137	NA
brca_igr_2015	MBC_138	NA
brca_igr_2015	MBC_139	NA
brca_igr_2015	MBC_140	NA
brca_igr_2015	MBC_141	NA
brca_igr_2015	MBC_142	NA
brca_igr_2015	MBC_143	NA
brca_igr_2015	MBC_144	NA
brca_igr_2015	MBC_145	NA
brca_igr_2015	MBC_146	NA
brca_igr_2015	MBC_147	NA
brca_igr_2015	MBC_148	NA
brca_igr_2015	MBC_149	NA
brca_igr_2015	MBC_150	NA
brca_igr_2015	MBC_151	NA
brca_igr_2015	MBC_152	NA
brca_igr_2015	MBC_153	NA
brca_igr_2015	MBC_154	NA
brca_igr_2015	MBC_155	NA
brca_igr_2015	MBC_156	NA
brca_igr_2015	MBC_157	NA
brca_igr_2015	MBC_158	NA
brca_igr_2015	MBC_159	NA
brca_igr_2015	MBC_160	NA
brca_igr_2015	MBC_161	NA
brca_igr_2015	MBC_162	NA
brca_igr_2015	MBC_163	NA
brca_igr_2015	MBC_164	NA
brca_igr_2015	MBC_165	NA
brca_igr_2015	MBC_166	NA
brca_igr_2015	MBC_167	NA
brca_igr_2015	MBC_168	NA
brca_igr_2015	MBC_169	NA
brca_igr_2015	MBC_170	NA
brca_igr_2015	MBC_171	NA
brca_igr_2015	MBC_172	NA
brca_igr_2015	MBC_173	NA
brca_igr_2015	MBC_174	NA
brca_igr_2015	MBC_175	NA
brca_igr_2015	MBC_176	NA
brca_igr_2015	MBC_177	NA
brca_igr_2015	MBC_178	NA
brca_igr_2015	MBC_179	NA
brca_igr_2015	MBC_180	NA
brca_igr_2015	MBC_181	NA
brca_igr_2015	MBC_1	NA
brca_igr_2015	MBC_2	NA
brca_igr_2015	MBC_3	NA
brca_igr_2015	MBC_4	NA
brca_igr_2015	MBC_5	NA
brca_igr_2015	MBC_6	NA
brca_igr_2015	MBC_7	NA
brca_igr_2015	MBC_8	NA
brca_igr_2015	MBC_9	NA
brca_igr_2015	MBC_10	NA
brca_igr_2015	MBC_11	NA
brca_igr_2015	MBC_12	NA
brca_igr_2015	MBC_13	NA
brca_igr_2015	MBC_14	NA
brca_igr_2015	MBC_15	NA
brca_igr_2015	MBC_16	NA
brca_igr_2015	MBC_17	NA
brca_igr_2015	MBC_18	NA
brca_igr_2015	MBC_19	NA
brca_igr_2015	MBC_20	NA
brca_igr_2015	MBC_21	NA
brca_igr_2015	MBC_22	NA
brca_igr_2015	MBC_23	NA
brca_igr_2015	MBC_24	NA
brca_igr_2015	MBC_25	NA
brca_igr_2015	MBC_26	NA
brca_igr_2015	MBC_27	NA
brca_igr_2015	MBC_28	NA
brca_igr_2015	MBC_29	NA
brca_igr_2015	MBC_30	NA
brca_igr_2015	MBC_31	NA
brca_igr_2015	MBC_32	NA
brca_igr_2015	MBC_33	NA
brca_igr_2015	MBC_34	NA
brca_igr_2015	MBC_35	NA
brca_igr_2015	MBC_36	NA
brca_igr_2015	MBC_37	NA
brca_igr_2015	MBC_38	NA
brca_igr_2015	MBC_39	NA
brca_igr_2015	MBC_40	NA
brca_igr_2015	MBC_41	NA
brca_igr_2015	MBC_42	NA
brca_igr_2015	MBC_43	NA
brca_igr_2015	MBC_44	NA
brca_igr_2015	MBC_45	NA
brca_igr_2015	MBC_46	NA
brca_igr_2015	MBC_47	NA
brca_igr_2015	MBC_48	NA
brca_igr_2015	MBC_49	NA
brca_igr_2015	MBC_50	NA
brca_igr_2015	MBC_51	NA
brca_igr_2015	MBC_52	NA
brca_igr_2015	MBC_53	NA
brca_igr_2015	MBC_54	NA
brca_igr_2015	MBC_55	NA
brca_igr_2015	MBC_56	NA
brca_igr_2015	MBC_57	NA
brca_igr_2015	MBC_58	NA
brca_igr_2015	MBC_59	NA
brca_igr_2015	MBC_60	NA
brca_igr_2015	MBC_61	NA
brca_igr_2015	MBC_62	NA
brca_igr_2015	MBC_63	NA
brca_igr_2015	MBC_64	NA
brca_igr_2015	MBC_65	NA
brca_igr_2015	MBC_66	NA
brca_igr_2015	MBC_67	NA
brca_igr_2015	MBC_68	NA
brca_igr_2015	MBC_69	NA
brca_igr_2015	MBC_70	NA
brca_igr_2015	MBC_71	NA
brca_igr_2015	MBC_72	NA
brca_igr_2015	MBC_73	NA
brca_igr_2015	MBC_74	NA
brca_igr_2015	MBC_75	NA
brca_igr_2015	MBC_76	NA
brca_igr_2015	MBC_77	NA
brca_igr_2015	MBC_78	NA
brca_igr_2015	MBC_79	NA
brca_igr_2015	MBC_80	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_GvHkH2Hk-Tumor-SM-AZ5H9	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_N4srsKsr-Tumor-SM-CGMGK	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_N4srsKsr-Tumor-SM-CGLTK	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_K7f6fdUz-Tumor-SM-AZ5MA	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_xBfJfri9-Tumor-SM-CGL4F	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_QbiZiytx-Tumor-SM-CGMH7	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_QbiZiytx-Tumor-SM-CGM9N	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_VrsMsqTb-Tumor-SM-CGLRO	NA
brca_mbcproject_wagle_2017	MBC-MBCProject_K0UDUnFE-Tumor-SM-AZ5FD	NA
