STUDY_ID	SAMPLE_ID	ANGPT2
brca_metabric	MB-0000	7.457668037
brca_metabric	MB-0002	6.685290989
brca_metabric	MB-0005	7.857266175
brca_metabric	MB-0006	6.448522572
brca_metabric	MB-0008	7.010503965
brca_metabric	MB-0010	8.016727566
brca_metabric	MB-0014	7.319310077
brca_metabric	MB-0022	6.732845488
brca_metabric	MB-0028	6.651006964
brca_metabric	MB-0035	6.491568343
brca_metabric	MB-0036	7.434867757
brca_metabric	MB-0039	7.181683523
brca_metabric	MB-0045	6.787553741
brca_metabric	MB-0046	7.201719645
brca_metabric	MB-0048	6.751920598
brca_metabric	MB-0050	7.111173784
brca_metabric	MB-0053	6.765161994
brca_metabric	MB-0054	6.833650571
brca_metabric	MB-0056	7.192728648
brca_metabric	MB-0060	7.283093161
brca_metabric	MB-0062	6.895420841
brca_metabric	MB-0064	6.48132355
brca_metabric	MB-0066	7.04639608
brca_metabric	MB-0068	7.334788158
brca_metabric	MB-0079	6.604239839
brca_metabric	MB-0081	6.114371723
brca_metabric	MB-0083	7.039969496
brca_metabric	MB-0093	6.948194731
brca_metabric	MB-0095	7.66040643
brca_metabric	MB-0097	6.708240908
brca_metabric	MB-0100	6.768126469
brca_metabric	MB-0101	6.662033418
brca_metabric	MB-0102	7.122446289
brca_metabric	MB-0106	7.354128613
brca_metabric	MB-0107	6.437007293
brca_metabric	MB-0108	7.053883388
brca_metabric	MB-0109	6.7992103
brca_metabric	MB-0111	6.944646261
brca_metabric	MB-0112	6.840091103
brca_metabric	MB-0113	7.38833935
brca_metabric	MB-0114	6.902838476
brca_metabric	MB-0115	7.459349584
brca_metabric	MB-0116	6.469340179
brca_metabric	MB-0117	6.887328042
brca_metabric	MB-0119	6.568436836
brca_metabric	MB-0120	6.729585165
brca_metabric	MB-0121	8.367436625
brca_metabric	MB-0122	7.288531277
brca_metabric	MB-0123	7.281991221
brca_metabric	MB-0124	7.641487545
brca_metabric	MB-0125	7.086196678
brca_metabric	MB-0126	7.319433913
brca_metabric	MB-0127	7.663419357
brca_metabric	MB-0128	7.516538161
brca_metabric	MB-0129	7.271720674
brca_metabric	MB-0130	6.600426129
brca_metabric	MB-0131	8.746557652
brca_metabric	MB-0133	7.071169316
brca_metabric	MB-0134	6.882694371
brca_metabric	MB-0135	6.773608413
brca_metabric	MB-0136	7.153884682
