STUDY_ID	SAMPLE_ID	ANGPT2
brca_metabric	MB-0000	0.677
brca_metabric	MB-0002	-0.7967
brca_metabric	MB-0005	1.3874
brca_metabric	MB-0006	-1.2783
brca_metabric	MB-0008	-0.1589
brca_metabric	MB-0010	1.662
brca_metabric	MB-0014	0.4231
brca_metabric	MB-0022	-0.7018
brca_metabric	MB-0028	-0.8655
brca_metabric	MB-0035	-1.1896
brca_metabric	MB-0036	0.6354
brca_metabric	MB-0039	0.1664
brca_metabric	MB-0045	-0.5933
brca_metabric	MB-0046	0.2041
brca_metabric	MB-0048	-0.6639
brca_metabric	MB-0050	0.0332
brca_metabric	MB-0053	-0.6376
brca_metabric	MB-0054	-0.5025
brca_metabric	MB-0056	0.1872
brca_metabric	MB-0060	0.356
brca_metabric	MB-0062	-0.3816
brca_metabric	MB-0064	-1.2107
brca_metabric	MB-0066	-0.0901
brca_metabric	MB-0068	0.4517
brca_metabric	MB-0079	-0.9599
brca_metabric	MB-0081	-1.9846
brca_metabric	MB-0083	-0.1024
brca_metabric	MB-0093	-0.2791
brca_metabric	MB-0095	1.0415
brca_metabric	MB-0097	-0.7508
brca_metabric	MB-0100	-0.6317
brca_metabric	MB-0101	-0.8434
brca_metabric	MB-0102	0.0546
brca_metabric	MB-0106	0.4874
brca_metabric	MB-0107	-1.3021
brca_metabric	MB-0108	-0.0758
brca_metabric	MB-0109	-0.5703
brca_metabric	MB-0111	-0.286
brca_metabric	MB-0112	-0.4898
brca_metabric	MB-0113	0.5503
brca_metabric	MB-0114	-0.3672
brca_metabric	MB-0115	0.68
brca_metabric	MB-0116	-1.2353
brca_metabric	MB-0117	-0.3974
brca_metabric	MB-0119	-1.0325
brca_metabric	MB-0120	-0.7083
brca_metabric	MB-0121	2.2492
brca_metabric	MB-0122	0.3661
brca_metabric	MB-0123	0.354
brca_metabric	MB-0124	1.0078
brca_metabric	MB-0125	-0.0142
brca_metabric	MB-0126	0.4234
brca_metabric	MB-0127	1.0468
brca_metabric	MB-0128	0.7837
brca_metabric	MB-0129	0.3349
brca_metabric	MB-0130	-0.9676
brca_metabric	MB-0131	2.8597
brca_metabric	MB-0133	-0.0428
brca_metabric	MB-0134	-0.4064
brca_metabric	MB-0135	-0.6209
brca_metabric	MB-0136	0.1141
brca_metabric	MB-0138	-1.2806
brca_metabric	MB-0139	-1.0863
brca_metabric	MB-0140	-0.8794
brca_metabric	MB-0142	-2.2342
brca_metabric	MB-0143	0.3142
brca_metabric	MB-0144	-0.9328
brca_metabric	MB-0145	0.5867
brca_metabric	MB-0146	-1.0189
brca_metabric	MB-0147	-1.0897
brca_metabric	MB-0148	-0.1479
brca_metabric	MB-0149	0.2001
brca_metabric	MB-0150	-0.3396
brca_metabric	MB-0151	-0.3528
brca_metabric	MB-0152	0.3393
brca_metabric	MB-0154	1.3522
brca_metabric	MB-0155	0.1604
brca_metabric	MB-0157	1.3269
brca_metabric	MB-0162	-0.7543
brca_metabric	MB-0163	0.9759
brca_metabric	MB-0164	1.5501
brca_metabric	MB-0165	-1.1862
brca_metabric	MB-0166	0.3676
brca_metabric	MB-0167	-0.146
brca_metabric	MB-0168	1.7685
brca_metabric	MB-0170	1.6703
brca_metabric	MB-0171	0.544
brca_metabric	MB-0172	0.2615
brca_metabric	MB-0173	-2.0634
brca_metabric	MB-0174	3.371
brca_metabric	MB-0175	0.1586
brca_metabric	MB-0176	-1.4181
