STUDY_ID	SAMPLE_ID	ANGPTL4
brca_metabric	MB-0000	9.504762827
brca_metabric	MB-0002	5.509761523
brca_metabric	MB-0005	7.429336623
brca_metabric	MB-0006	6.171367718
brca_metabric	MB-0008	7.093912825
brca_metabric	MB-0010	7.170322518
brca_metabric	MB-0014	6.740221622
brca_metabric	MB-0022	7.024236766
brca_metabric	MB-0028	6.155629184
brca_metabric	MB-0035	5.786011343
brca_metabric	MB-0036	7.222963481
brca_metabric	MB-0039	5.659821639
brca_metabric	MB-0045	7.457856731
brca_metabric	MB-0046	7.31320503
brca_metabric	MB-0048	6.587481402
brca_metabric	MB-0050	6.545787146
brca_metabric	MB-0053	6.613222718
brca_metabric	MB-0054	6.64342284
brca_metabric	MB-0056	6.250162213
brca_metabric	MB-0060	7.99377745
brca_metabric	MB-0062	6.519386173
brca_metabric	MB-0064	5.954317899
brca_metabric	MB-0066	6.412528046
brca_metabric	MB-0068	6.789908974
brca_metabric	MB-0079	6.533811483
brca_metabric	MB-0081	6.16740574
brca_metabric	MB-0083	6.323959185
brca_metabric	MB-0093	5.89225148
brca_metabric	MB-0095	5.934614969
brca_metabric	MB-0097	7.213513597
brca_metabric	MB-0100	7.012151635
brca_metabric	MB-0101	6.770861028
brca_metabric	MB-0102	6.877193108
brca_metabric	MB-0106	7.282034931
brca_metabric	MB-0107	6.863529774
brca_metabric	MB-0108	6.295764163
brca_metabric	MB-0109	7.430598185
brca_metabric	MB-0111	5.755864834
brca_metabric	MB-0112	6.965135669
brca_metabric	MB-0113	6.3704381
brca_metabric	MB-0114	5.760726874
brca_metabric	MB-0115	9.451649041
brca_metabric	MB-0116	7.164165629
brca_metabric	MB-0117	7.203015229
brca_metabric	MB-0119	8.141528427
brca_metabric	MB-0120	5.816960463
brca_metabric	MB-0121	7.563413949
brca_metabric	MB-0122	6.912572353
brca_metabric	MB-0123	6.30461056
brca_metabric	MB-0124	6.996708861
brca_metabric	MB-0125	5.652546724
brca_metabric	MB-0126	6.522568032
brca_metabric	MB-0127	7.559702523
brca_metabric	MB-0128	7.829724875
brca_metabric	MB-0129	6.574666824
brca_metabric	MB-0130	6.853764849
brca_metabric	MB-0131	7.102452815
brca_metabric	MB-0133	6.131865989
brca_metabric	MB-0134	7.26585134
brca_metabric	MB-0135	6.221973689
brca_metabric	MB-0136	6.615421832
brca_metabric	MB-0138	6.835259553
brca_metabric	MB-0139	7.010242924
brca_metabric	MB-0140	7.272290644
brca_metabric	MB-0142	7.00203769
brca_metabric	MB-0143	5.695579599
brca_metabric	MB-0144	6.339407512
brca_metabric	MB-0145	6.998969847
brca_metabric	MB-0146	6.663879081
brca_metabric	MB-0147	7.058111446
brca_metabric	MB-0148	7.320009112
brca_metabric	MB-0149	7.214313057
brca_metabric	MB-0150	7.914112757
brca_metabric	MB-0151	7.000470629
brca_metabric	MB-0152	9.13077813
brca_metabric	MB-0154	5.956915126
brca_metabric	MB-0155	8.437253296
brca_metabric	MB-0157	7.924505222
brca_metabric	MB-0162	6.154018493
brca_metabric	MB-0163	6.287421339
brca_metabric	MB-0164	7.739321066
brca_metabric	MB-0165	5.989361671
brca_metabric	MB-0166	7.649208168
brca_metabric	MB-0167	8.089657737
brca_metabric	MB-0168	8.859326172
brca_metabric	MB-0170	8.267574742
brca_metabric	MB-0171	7.758839263
brca_metabric	MB-0172	5.7587146
brca_metabric	MB-0173	7.346884951
brca_metabric	MB-0174	9.773773476
brca_metabric	MB-0175	6.383894474
brca_metabric	MB-0176	6.509103333
brca_metabric	MB-0177	7.537246729
brca_metabric	MB-0178	8.061314148
brca_metabric	MB-0179	7.525541764
brca_metabric	MB-0180	6.339183468
brca_metabric	MB-0181	7.562529092
brca_metabric	MB-0184	6.270178523
brca_metabric	MB-0188	6.214574619
brca_metabric	MB-0189	7.891208487
brca_metabric	MB-0191	7.174010033
brca_metabric	MB-0192	6.140366853
