STUDY_ID	SAMPLE_ID	ANGPTL4
brca_metabric	MB-0000	2.3995
brca_metabric	MB-0002	-1.78
brca_metabric	MB-0005	0.477
brca_metabric	MB-0006	-0.9346
brca_metabric	MB-0008	0.1224
brca_metabric	MB-0010	0.2044
brca_metabric	MB-0014	-0.2679
brca_metabric	MB-0022	0.0468
brca_metabric	MB-0028	-0.9538
brca_metabric	MB-0035	-1.417
brca_metabric	MB-0036	0.2605
brca_metabric	MB-0039	-1.5809
brca_metabric	MB-0045	0.5065
brca_metabric	MB-0046	0.3558
brca_metabric	MB-0048	-0.442
brca_metabric	MB-0050	-0.4901
brca_metabric	MB-0053	-0.4124
brca_metabric	MB-0054	-0.3778
brca_metabric	MB-0056	-0.8392
brca_metabric	MB-0060	1.0431
brca_metabric	MB-0062	-0.5207
brca_metabric	MB-0064	-1.203
brca_metabric	MB-0066	-0.6457
brca_metabric	MB-0068	-0.212
brca_metabric	MB-0079	-0.504
brca_metabric	MB-0081	-0.9394
brca_metabric	MB-0083	-0.7507
brca_metabric	MB-0093	-1.2813
brca_metabric	MB-0095	-1.2278
brca_metabric	MB-0097	0.2505
brca_metabric	MB-0100	0.0337
brca_metabric	MB-0101	-0.2334
brca_metabric	MB-0102	-0.1147
brca_metabric	MB-0106	0.323
brca_metabric	MB-0107	-0.1298
brca_metabric	MB-0108	-0.7844
brca_metabric	MB-0109	0.4783
brca_metabric	MB-0111	-1.4559
brca_metabric	MB-0112	-0.0177
brca_metabric	MB-0113	-0.6955
brca_metabric	MB-0114	-1.4496
brca_metabric	MB-0115	2.3552
brca_metabric	MB-0116	0.1978
brca_metabric	MB-0117	0.2393
brca_metabric	MB-0119	1.1854
brca_metabric	MB-0120	-1.3773
brca_metabric	MB-0121	0.6148
brca_metabric	MB-0122	-0.0755
brca_metabric	MB-0123	-0.7738
brca_metabric	MB-0124	0.0168
brca_metabric	MB-0125	-1.5905
brca_metabric	MB-0126	-0.517
brca_metabric	MB-0127	0.6111
brca_metabric	MB-0128	0.8823
brca_metabric	MB-0129	-0.4567
brca_metabric	MB-0130	-0.1407
brca_metabric	MB-0131	0.1316
brca_metabric	MB-0133	-0.9828
brca_metabric	MB-0134	0.306
brca_metabric	MB-0135	-0.8732
brca_metabric	MB-0136	-0.4099
brca_metabric	MB-0138	-0.1613
brca_metabric	MB-0139	0.0316
brca_metabric	MB-0140	0.3128
brca_metabric	MB-0142	0.0227
brca_metabric	MB-0143	-1.5342
brca_metabric	MB-0144	-0.7323
brca_metabric	MB-0145	0.0193
brca_metabric	MB-0146	-0.3545
brca_metabric	MB-0147	0.0836
brca_metabric	MB-0148	0.363
brca_metabric	MB-0149	0.2513
brca_metabric	MB-0150	0.9654
brca_metabric	MB-0151	0.0209
brca_metabric	MB-0152	2.0828
brca_metabric	MB-0154	-1.1998
brca_metabric	MB-0155	1.4635
brca_metabric	MB-0157	0.9756
brca_metabric	MB-0162	-0.9557
brca_metabric	MB-0163	-0.7944
brca_metabric	MB-0164	0.7924
brca_metabric	MB-0165	-1.1591
brca_metabric	MB-0166	0.7019
brca_metabric	MB-0167	1.1357
brca_metabric	MB-0168	1.8456
brca_metabric	MB-0170	1.305
brca_metabric	MB-0171	0.8119
brca_metabric	MB-0172	-1.4522
brca_metabric	MB-0173	0.3912
brca_metabric	MB-0174	2.6203
brca_metabric	MB-0175	-0.6795
brca_metabric	MB-0176	-0.5327
brca_metabric	MB-0177	0.5881
brca_metabric	MB-0178	1.1084
brca_metabric	MB-0179	0.5761
brca_metabric	MB-0180	-0.7326
brca_metabric	MB-0181	0.6139
brca_metabric	MB-0184	-0.8151
brca_metabric	MB-0188	-0.8821
brca_metabric	MB-0189	0.9429
brca_metabric	MB-0191	0.2084
brca_metabric	MB-0192	-0.9724
brca_metabric	MB-0193	-1.3926
brca_metabric	MB-0194	0.8038
brca_metabric	MB-0195	-1.0693
brca_metabric	MB-0197	-0.6116
brca_metabric	MB-0198	-0.2361
brca_metabric	MB-0199	-0.0517
brca_metabric	MB-0200	-0.4945
brca_metabric	MB-0201	1.0604
brca_metabric	MB-0202	-0.202
brca_metabric	MB-0203	1.5886
brca_metabric	MB-0204	0.4069
brca_metabric	MB-0205	1.6635
brca_metabric	MB-0206	-0.195
