STUDY_ID	SAMPLE_ID	CEACAM5
brca_metabric	MB-0000	5.427434106
brca_metabric	MB-0002	5.69771747
brca_metabric	MB-0005	5.598242404
brca_metabric	MB-0006	5.519021792
brca_metabric	MB-0008	6.877147239
brca_metabric	MB-0010	6.230369287
brca_metabric	MB-0014	6.966482024
brca_metabric	MB-0022	5.469848617
brca_metabric	MB-0028	5.366133244
brca_metabric	MB-0035	5.272978294
brca_metabric	MB-0036	7.568024038
brca_metabric	MB-0039	5.889839854
brca_metabric	MB-0045	5.343353008
brca_metabric	MB-0046	5.501596266
brca_metabric	MB-0048	5.383585047
brca_metabric	MB-0050	5.203992981
brca_metabric	MB-0053	5.485775057
brca_metabric	MB-0054	5.559133413
brca_metabric	MB-0056	7.280925917
brca_metabric	MB-0060	5.466923244
brca_metabric	MB-0062	5.334597066
brca_metabric	MB-0064	7.943017838
brca_metabric	MB-0066	5.543134492
brca_metabric	MB-0068	5.553009264
brca_metabric	MB-0079	5.47821674
brca_metabric	MB-0081	5.454810165
brca_metabric	MB-0083	5.528952405
brca_metabric	MB-0093	5.580740851
brca_metabric	MB-0095	8.899214213
brca_metabric	MB-0097	6.897787123
brca_metabric	MB-0100	5.330217772
brca_metabric	MB-0101	5.644590941
brca_metabric	MB-0102	5.644738676
brca_metabric	MB-0106	5.860715621
brca_metabric	MB-0107	7.559636183
brca_metabric	MB-0108	6.242267252
brca_metabric	MB-0109	5.323595088
brca_metabric	MB-0111	5.264469291
brca_metabric	MB-0112	7.803930649
brca_metabric	MB-0113	5.657702887
brca_metabric	MB-0114	5.809118619
brca_metabric	MB-0115	5.321210473
brca_metabric	MB-0116	6.06361747
brca_metabric	MB-0117	6.054817254
brca_metabric	MB-0119	5.59192552
brca_metabric	MB-0120	5.945153507
brca_metabric	MB-0121	6.004363738
brca_metabric	MB-0122	5.747586691
brca_metabric	MB-0123	5.515986484
brca_metabric	MB-0124	5.299098819
brca_metabric	MB-0125	8.987431735
brca_metabric	MB-0126	8.240377443
brca_metabric	MB-0127	6.126639878
brca_metabric	MB-0128	5.435439253
brca_metabric	MB-0129	5.638024785
brca_metabric	MB-0130	5.384598335
brca_metabric	MB-0131	5.343259814
brca_metabric	MB-0133	5.306113275
brca_metabric	MB-0134	5.696754438
brca_metabric	MB-0135	5.816585759
brca_metabric	MB-0136	5.423843423
brca_metabric	MB-0138	5.418888498
brca_metabric	MB-0139	5.573346131
brca_metabric	MB-0140	7.736070795
brca_metabric	MB-0142	8.996150347
brca_metabric	MB-0143	5.308979764
brca_metabric	MB-0144	7.746364139
brca_metabric	MB-0145	5.165722287
brca_metabric	MB-0146	6.571380353
brca_metabric	MB-0147	5.402869887
brca_metabric	MB-0148	8.297347216
brca_metabric	MB-0149	5.479302346
brca_metabric	MB-0150	5.453833142
brca_metabric	MB-0151	5.797585554
brca_metabric	MB-0152	5.325251022
brca_metabric	MB-0154	5.516602426
brca_metabric	MB-0155	5.148936442
brca_metabric	MB-0157	5.289785962
brca_metabric	MB-0162	5.833662749
brca_metabric	MB-0163	5.320641462
brca_metabric	MB-0164	5.903036434
brca_metabric	MB-0165	7.264066286
brca_metabric	MB-0166	5.620448138
brca_metabric	MB-0167	5.595597613
brca_metabric	MB-0168	5.740883725
brca_metabric	MB-0170	5.268279336
brca_metabric	MB-0171	5.501736501
brca_metabric	MB-0172	5.502296242
brca_metabric	MB-0173	5.532775435
brca_metabric	MB-0174	5.403004167
brca_metabric	MB-0175	6.363868938
brca_metabric	MB-0176	5.281354893
brca_metabric	MB-0177	5.599214771
brca_metabric	MB-0178	5.690384092
brca_metabric	MB-0179	5.45918964
brca_metabric	MB-0180	5.363480277
brca_metabric	MB-0181	5.470297514
brca_metabric	MB-0184	8.992975298
brca_metabric	MB-0188	5.680835977
brca_metabric	MB-0189	5.61319815
brca_metabric	MB-0191	5.719599035
brca_metabric	MB-0192	5.406401674
brca_metabric	MB-0193	8.884817897
brca_metabric	MB-0194	5.496615879
brca_metabric	MB-0195	5.41987106
brca_metabric	MB-0197	5.415193224
brca_metabric	MB-0198	5.562644838
brca_metabric	MB-0199	7.205597229
brca_metabric	MB-0200	5.186642225
brca_metabric	MB-0201	5.407914691
brca_metabric	MB-0202	5.609485427
brca_metabric	MB-0203	6.393012997
brca_metabric	MB-0204	6.134417498
brca_metabric	MB-0205	5.518741562
brca_metabric	MB-0206	5.240090828
brca_metabric	MB-0207	5.5785821
brca_metabric	MB-0209	5.569966888
brca_metabric	MB-0211	5.18162445
brca_metabric	MB-0214	5.339157636
brca_metabric	MB-0215	5.954612355
brca_metabric	MB-0218	6.152366738
brca_metabric	MB-0220	6.741722877
brca_metabric	MB-0221	5.52337211
brca_metabric	MB-0222	5.756974564
brca_metabric	MB-0223	7.106026323
brca_metabric	MB-0224	5.458265777
brca_metabric	MB-0225	5.83640423
brca_metabric	MB-0226	5.212085309
brca_metabric	MB-0227	5.73661497
brca_metabric	MB-0228	5.499200582
brca_metabric	MB-0229	5.509636308
brca_metabric	MB-0230	5.524553548
brca_metabric	MB-0231	5.681259347
brca_metabric	MB-0232	5.629796097
brca_metabric	MB-0233	5.257134605
brca_metabric	MB-0234	6.578776151
brca_metabric	MB-0235	6.646114303
