STUDY_ID	SAMPLE_ID	CEACAM5
brca_metabric	MB-0000	-0.6149
brca_metabric	MB-0002	-0.2719
brca_metabric	MB-0005	-0.3965
brca_metabric	MB-0006	-0.4971
brca_metabric	MB-0008	1.0787
brca_metabric	MB-0010	0.3653
brca_metabric	MB-0014	1.1726
brca_metabric	MB-0022	-0.5601
brca_metabric	MB-0028	-0.6947
brca_metabric	MB-0035	-0.8174
brca_metabric	MB-0036	1.7788
brca_metabric	MB-0039	-0.0364
brca_metabric	MB-0045	-0.7245
brca_metabric	MB-0046	-0.5194
brca_metabric	MB-0048	-0.6719
brca_metabric	MB-0050	-0.9095
brca_metabric	MB-0053	-0.5396
brca_metabric	MB-0054	-0.446
brca_metabric	MB-0056	1.495
brca_metabric	MB-0060	-0.5639
brca_metabric	MB-0062	-0.736
brca_metabric	MB-0064	2.1355
brca_metabric	MB-0066	-0.4663
brca_metabric	MB-0068	-0.4538
brca_metabric	MB-0079	-0.5493
brca_metabric	MB-0081	-0.5795
brca_metabric	MB-0083	-0.4844
brca_metabric	MB-0093	-0.4186
brca_metabric	MB-0095	2.9813
brca_metabric	MB-0097	1.1005
brca_metabric	MB-0100	-0.7418
brca_metabric	MB-0101	-0.3382
brca_metabric	MB-0102	-0.338
brca_metabric	MB-0106	-0.0717
brca_metabric	MB-0107	1.7706
brca_metabric	MB-0108	0.379
brca_metabric	MB-0109	-0.7505
brca_metabric	MB-0111	-0.8287
brca_metabric	MB-0112	2.0049
brca_metabric	MB-0113	-0.3218
brca_metabric	MB-0114	-0.1345
brca_metabric	MB-0115	-0.7536
brca_metabric	MB-0116	0.171
brca_metabric	MB-0117	0.1606
brca_metabric	MB-0119	-0.4045
brca_metabric	MB-0120	0.0302
brca_metabric	MB-0121	0.1009
brca_metabric	MB-0122	-0.2101
brca_metabric	MB-0123	-0.5009
brca_metabric	MB-0124	-0.7828
brca_metabric	MB-0125	3.0552
brca_metabric	MB-0126	2.4078
brca_metabric	MB-0127	0.245
brca_metabric	MB-0128	-0.6045
brca_metabric	MB-0129	-0.3464
brca_metabric	MB-0130	-0.6706
brca_metabric	MB-0131	-0.7246
brca_metabric	MB-0133	-0.7736
brca_metabric	MB-0134	-0.2731
brca_metabric	MB-0135	-0.1254
brca_metabric	MB-0136	-0.6195
brca_metabric	MB-0138	-0.626
brca_metabric	MB-0139	-0.428
brca_metabric	MB-0140	1.9405
brca_metabric	MB-0142	3.0625
brca_metabric	MB-0143	-0.7698
brca_metabric	MB-0144	1.9503
brca_metabric	MB-0145	-0.961
brca_metabric	MB-0146	0.7491
brca_metabric	MB-0147	-0.6468
brca_metabric	MB-0148	2.459
brca_metabric	MB-0149	-0.548
brca_metabric	MB-0150	-0.5807
brca_metabric	MB-0151	-0.1486
brca_metabric	MB-0152	-0.7483
brca_metabric	MB-0154	-0.5002
