STUDY_ID	SAMPLE_ID	FN1
brca_metabric	MB-0000	5.46089239
brca_metabric	MB-0002	6.332095832
brca_metabric	MB-0005	6.164315879
brca_metabric	MB-0006	5.963434881
brca_metabric	MB-0008	6.402626345
brca_metabric	MB-0010	6.328758536
brca_metabric	MB-0014	5.769367153
brca_metabric	MB-0022	5.653353894
brca_metabric	MB-0028	5.728987767
brca_metabric	MB-0035	5.468066716
brca_metabric	MB-0036	5.673706717
brca_metabric	MB-0039	5.65111894
brca_metabric	MB-0045	5.792304343
brca_metabric	MB-0046	5.921734951
brca_metabric	MB-0048	5.67384361
brca_metabric	MB-0050	5.568078192
brca_metabric	MB-0053	5.654470987
brca_metabric	MB-0054	5.602833786
brca_metabric	MB-0056	5.50997669
brca_metabric	MB-0060	5.963215112
brca_metabric	MB-0062	5.668263646
brca_metabric	MB-0064	5.676935773
brca_metabric	MB-0066	5.631678209
brca_metabric	MB-0068	5.306854469
brca_metabric	MB-0079	5.708262305
brca_metabric	MB-0081	5.9786352
brca_metabric	MB-0083	5.614356209
brca_metabric	MB-0093	5.522318527
brca_metabric	MB-0095	5.580712187
brca_metabric	MB-0097	5.592505878
brca_metabric	MB-0100	6.004560907
brca_metabric	MB-0101	5.668502664
brca_metabric	MB-0102	6.01874494
brca_metabric	MB-0106	6.334514987
brca_metabric	MB-0107	6.088409555
brca_metabric	MB-0108	5.394077528
brca_metabric	MB-0109	5.388370708
brca_metabric	MB-0111	6.067349245
brca_metabric	MB-0112	5.58156522
brca_metabric	MB-0113	5.648034297
brca_metabric	MB-0114	5.682890913
brca_metabric	MB-0115	6.260804635
brca_metabric	MB-0116	6.008191577
brca_metabric	MB-0117	5.420871798
brca_metabric	MB-0119	6.049188933
brca_metabric	MB-0120	6.622368217
brca_metabric	MB-0121	6.851235586
brca_metabric	MB-0122	6.144155833
brca_metabric	MB-0123	5.902443616
brca_metabric	MB-0124	5.689298089
brca_metabric	MB-0125	5.872611851
brca_metabric	MB-0126	6.341627392
brca_metabric	MB-0127	7.304010178
brca_metabric	MB-0128	5.895326276
brca_metabric	MB-0129	7.098474542
brca_metabric	MB-0130	6.294006875
brca_metabric	MB-0131	7.088882868
brca_metabric	MB-0133	5.677690048
brca_metabric	MB-0134	6.264846373
brca_metabric	MB-0135	5.949063226
brca_metabric	MB-0136	6.212862249
brca_metabric	MB-0138	5.968263901
brca_metabric	MB-0139	5.564926554
brca_metabric	MB-0140	5.383657854
brca_metabric	MB-0142	5.392932986
brca_metabric	MB-0143	6.288666956
brca_metabric	MB-0144	6.592112075
brca_metabric	MB-0145	5.803944867
brca_metabric	MB-0146	5.968417109
brca_metabric	MB-0147	6.228253252
brca_metabric	MB-0148	6.656049859
brca_metabric	MB-0149	5.856185738
brca_metabric	MB-0150	5.982308838
brca_metabric	MB-0151	6.098803112
brca_metabric	MB-0152	6.618357251
brca_metabric	MB-0154	6.585505689
brca_metabric	MB-0155	5.967435929
brca_metabric	MB-0157	6.781240323
brca_metabric	MB-0162	5.956885794
brca_metabric	MB-0163	6.095049681
brca_metabric	MB-0164	6.433294877
brca_metabric	MB-0165	6.048922275
brca_metabric	MB-0166	6.386063155
brca_metabric	MB-0167	6.241483205
brca_metabric	MB-0168	8.813649906
brca_metabric	MB-0170	6.223798519
brca_metabric	MB-0171	5.620847028
brca_metabric	MB-0172	5.476713091
brca_metabric	MB-0173	5.66628152
brca_metabric	MB-0174	6.214204903
brca_metabric	MB-0175	5.870249106
brca_metabric	MB-0176	5.566610189
brca_metabric	MB-0177	7.150156504
brca_metabric	MB-0178	6.316371802
brca_metabric	MB-0179	6.446349632
brca_metabric	MB-0180	7.138654063
brca_metabric	MB-0181	6.106963781
brca_metabric	MB-0184	5.875843021
brca_metabric	MB-0188	6.198306225
brca_metabric	MB-0189	6.854320048
brca_metabric	MB-0191	6.116521533
brca_metabric	MB-0192	5.488334948
brca_metabric	MB-0193	7.873502741
brca_metabric	MB-0194	7.115505723
brca_metabric	MB-0195	6.406183916
brca_metabric	MB-0197	7.653203191
brca_metabric	MB-0198	6.74883673
brca_metabric	MB-0199	6.130806293
brca_metabric	MB-0200	5.749436711
brca_metabric	MB-0201	7.581586487
brca_metabric	MB-0202	6.608606303
brca_metabric	MB-0203	6.116340594
brca_metabric	MB-0204	7.564666833
brca_metabric	MB-0205	5.607299618
brca_metabric	MB-0206	6.865480271
brca_metabric	MB-0207	7.534252341
brca_metabric	MB-0209	6.331447222
brca_metabric	MB-0211	7.57753978
brca_metabric	MB-0214	5.507022489
brca_metabric	MB-0215	6.694749193
brca_metabric	MB-0218	7.047465002
brca_metabric	MB-0220	5.751247984
brca_metabric	MB-0221	5.930678328
brca_metabric	MB-0222	5.747761727
brca_metabric	MB-0223	6.019220527
brca_metabric	MB-0224	6.620804251
brca_metabric	MB-0225	5.550501002
brca_metabric	MB-0226	5.872474829
brca_metabric	MB-0227	6.585868915
brca_metabric	MB-0228	5.546082528
brca_metabric	MB-0229	6.727442894
brca_metabric	MB-0230	6.146311621
brca_metabric	MB-0231	5.732992683
brca_metabric	MB-0232	6.623582592
brca_metabric	MB-0233	6.733412659
brca_metabric	MB-0234	5.989788633
brca_metabric	MB-0235	5.677500138
brca_metabric	MB-0236	5.923743534
brca_metabric	MB-0238	5.752840751
brca_metabric	MB-0239	6.138122276
brca_metabric	MB-0241	7.417559269
brca_metabric	MB-0242	6.997164392
brca_metabric	MB-0243	6.509334667
brca_metabric	MB-0244	5.552613388
brca_metabric	MB-0245	5.739192443
brca_metabric	MB-0247	6.532453602
brca_metabric	MB-0248	5.632820162
brca_metabric	MB-0249	6.684600575
brca_metabric	MB-0253	5.797909971
brca_metabric	MB-0256	6.829696515
brca_metabric	MB-0257	6.132494787
brca_metabric	MB-0258	5.616462085
brca_metabric	MB-0259	5.715229996
brca_metabric	MB-0260	5.858440771
brca_metabric	MB-0261	6.33870554
brca_metabric	MB-0262	6.836464513
brca_metabric	MB-0263	5.536484093
