STUDY_ID	SAMPLE_ID	FN1
brca_metabric	MB-0000	-1.1791
brca_metabric	MB-0002	0.732
brca_metabric	MB-0005	0.3822
brca_metabric	MB-0006	-0.0474
brca_metabric	MB-0008	0.8766
brca_metabric	MB-0010	0.7251
brca_metabric	MB-0014	-0.4745
brca_metabric	MB-0022	-0.7356
brca_metabric	MB-0028	-0.5649
brca_metabric	MB-0035	-1.1624
brca_metabric	MB-0036	-0.6895
brca_metabric	MB-0039	-0.7407
brca_metabric	MB-0045	-0.4234
brca_metabric	MB-0046	-0.1382
brca_metabric	MB-0048	-0.6892
brca_metabric	MB-0050	-0.9305
brca_metabric	MB-0053	-0.7331
brca_metabric	MB-0054	-0.8508
brca_metabric	MB-0056	-1.0648
brca_metabric	MB-0060	-0.0479
brca_metabric	MB-0062	-0.7018
brca_metabric	MB-0064	-0.6822
brca_metabric	MB-0066	-0.7849
brca_metabric	MB-0068	-1.5437
brca_metabric	MB-0079	-0.6115
brca_metabric	MB-0081	-0.0145
brca_metabric	MB-0083	-0.8245
brca_metabric	MB-0093	-1.0362
brca_metabric	MB-0095	-0.9015
brca_metabric	MB-0097	-0.8744
brca_metabric	MB-0100	0.0415
brca_metabric	MB-0101	-0.7013
brca_metabric	MB-0102	0.0721
brca_metabric	MB-0106	0.737
brca_metabric	MB-0107	0.2213
brca_metabric	MB-0108	-1.3362
brca_metabric	MB-0109	-1.3497
brca_metabric	MB-0111	0.1764
brca_metabric	MB-0112	-0.8995
brca_metabric	MB-0113	-0.7477
brca_metabric	MB-0114	-0.6687
brca_metabric	MB-0115	0.5844
brca_metabric	MB-0116	0.0494
brca_metabric	MB-0117	-1.273
brca_metabric	MB-0119	0.1375
brca_metabric	MB-0120	1.3186
brca_metabric	MB-0121	1.7655
brca_metabric	MB-0122	0.3397
brca_metabric	MB-0123	-0.1803
brca_metabric	MB-0124	-0.6542
brca_metabric	MB-0125	-0.2458
brca_metabric	MB-0126	0.7516
brca_metabric	MB-0127	2.6126
brca_metabric	MB-0128	-0.1959
brca_metabric	MB-0129	2.234
brca_metabric	MB-0130	0.6533
brca_metabric	MB-0131	2.2161
brca_metabric	MB-0133	-0.6805
brca_metabric	MB-0134	0.5928
brca_metabric	MB-0135	-0.0786
brca_metabric	MB-0136	0.4843
brca_metabric	MB-0138	-0.037
brca_metabric	MB-0139	-0.9378
brca_metabric	MB-0140	-1.3608
brca_metabric	MB-0142	-1.3389
brca_metabric	MB-0143	0.6422
brca_metabric	MB-0144	1.2585
brca_metabric	MB-0145	-0.3975
brca_metabric	MB-0146	-0.0366
brca_metabric	MB-0147	0.5165
brca_metabric	MB-0148	1.3852
brca_metabric	MB-0149	-0.2819
brca_metabric	MB-0150	-0.0065
brca_metabric	MB-0151	0.2435
brca_metabric	MB-0152	1.3106
brca_metabric	MB-0154	1.2453
brca_metabric	MB-0155	-0.0388
brca_metabric	MB-0157	1.6302
brca_metabric	MB-0162	-0.0616
brca_metabric	MB-0163	0.2355
brca_metabric	MB-0164	0.9391
brca_metabric	MB-0165	0.1369
brca_metabric	MB-0166	0.8428
brca_metabric	MB-0167	0.5441
brca_metabric	MB-0168	5.1362
brca_metabric	MB-0170	0.5072
brca_metabric	MB-0171	-0.8096
brca_metabric	MB-0172	-1.1422
brca_metabric	MB-0173	-0.7063
brca_metabric	MB-0174	0.4871
brca_metabric	MB-0175	-0.251
brca_metabric	MB-0176	-0.9339
brca_metabric	MB-0177	2.3301
brca_metabric	MB-0178	0.6995
brca_metabric	MB-0179	0.9656
brca_metabric	MB-0180	2.3087
brca_metabric	MB-0181	0.2608
brca_metabric	MB-0184	-0.2387
brca_metabric	MB-0188	0.4538
brca_metabric	MB-0189	1.7715
brca_metabric	MB-0191	0.2811
brca_metabric	MB-0192	-1.1151
brca_metabric	MB-0193	3.6148
brca_metabric	MB-0194	2.2657
brca_metabric	MB-0195	0.8839
brca_metabric	MB-0197	3.2349
brca_metabric	MB-0198	1.5672
brca_metabric	MB-0199	0.3114
brca_metabric	MB-0200	-0.519
brca_metabric	MB-0201	3.1094
brca_metabric	MB-0202	1.2913
brca_metabric	MB-0203	0.2807
brca_metabric	MB-0204	3.0796
brca_metabric	MB-0205	-0.8406
brca_metabric	MB-0206	1.7929
brca_metabric	MB-0207	3.0258
brca_metabric	MB-0209	0.7306
brca_metabric	MB-0211	3.1023
brca_metabric	MB-0214	-1.0716
brca_metabric	MB-0215	1.4614
brca_metabric	MB-0218	2.1385
brca_metabric	MB-0220	-0.515
brca_metabric	MB-0221	-0.1187
brca_metabric	MB-0222	-0.5228
brca_metabric	MB-0223	0.0731
brca_metabric	MB-0224	1.3155
brca_metabric	MB-0225	-0.971
brca_metabric	MB-0226	-0.2461
brca_metabric	MB-0227	1.2461
brca_metabric	MB-0228	-0.9812
brca_metabric	MB-0229	1.5254
brca_metabric	MB-0230	0.3442
brca_metabric	MB-0231	-0.5559
brca_metabric	MB-0232	1.321
brca_metabric	MB-0233	1.5371
brca_metabric	MB-0234	0.0096
brca_metabric	MB-0235	-0.6809
brca_metabric	MB-0236	-0.1338
brca_metabric	MB-0238	-0.5114
brca_metabric	MB-0239	0.3269
brca_metabric	MB-0241	2.8178
brca_metabric	MB-0242	2.0438
brca_metabric	MB-0243	1.0928
brca_metabric	MB-0244	-0.9661
brca_metabric	MB-0245	-0.542
brca_metabric	MB-0247	1.1393
brca_metabric	MB-0248	-0.7823
brca_metabric	MB-0249	1.4414
brca_metabric	MB-0253	-0.4109
brca_metabric	MB-0256	1.724
brca_metabric	MB-0257	0.315
brca_metabric	MB-0258	-0.8196
brca_metabric	MB-0259	-0.5958
brca_metabric	MB-0260	-0.277
brca_metabric	MB-0261	0.7456
brca_metabric	MB-0262	1.7371
brca_metabric	MB-0263	-1.0034
brca_metabric	MB-0264	2.014
brca_metabric	MB-0265	-1.0573
brca_metabric	MB-0266	0.153
brca_metabric	MB-0268	0.9152
brca_metabric	MB-0269	4.2836
brca_metabric	MB-0270	-0.3221
brca_metabric	MB-0272	-0.5821
brca_metabric	MB-0273	-1.2724
brca_metabric	MB-0275	1.2753
brca_metabric	MB-0278	-0.9595
brca_metabric	MB-0279	1.1803
brca_metabric	MB-0280	-1.421
brca_metabric	MB-0282	-1.1291
brca_metabric	MB-0284	1.623
brca_metabric	MB-0285	-0.388
brca_metabric	MB-0286	2.4238
brca_metabric	MB-0287	1.8922
brca_metabric	MB-0288	0.6559
brca_metabric	MB-0289	0.805
brca_metabric	MB-0290	1.5905
brca_metabric	MB-0291	2.8903
brca_metabric	MB-0292	1.3352
brca_metabric	MB-0293	0.3029
brca_metabric	MB-0294	0.4073
brca_metabric	MB-0295	-0.5532
brca_metabric	MB-0301	0.8701
brca_metabric	MB-0302	0.5129
brca_metabric	MB-0303	0.4303
brca_metabric	MB-0304	-1.1107
brca_metabric	MB-0305	0.4324
brca_metabric	MB-0306	1.1297
brca_metabric	MB-0307	-0.7008
brca_metabric	MB-0308	-1.2096
brca_metabric	MB-0309	-0.08
brca_metabric	MB-0310	-1.1556
brca_metabric	MB-0311	1.9973
brca_metabric	MB-0312	1.0664
brca_metabric	MB-0313	1.4287
brca_metabric	MB-0314	1.8114
brca_metabric	MB-0315	1.5396
brca_metabric	MB-0316	0.6335
brca_metabric	MB-0317	0.5248
brca_metabric	MB-0318	-0.8516
brca_metabric	MB-0319	-0.9854
brca_metabric	MB-0320	-0.94
brca_metabric	MB-0321	-0.777
brca_metabric	MB-0322	0.6929
brca_metabric	MB-0324	-1.3207
brca_metabric	MB-0325	-0.2202
brca_metabric	MB-0328	-0.1911
brca_metabric	MB-0336	0.8274
brca_metabric	MB-0339	-1.0659
brca_metabric	MB-0340	-0.5678
brca_metabric	MB-0341	1.4733
brca_metabric	MB-0342	-1.4474
brca_metabric	MB-0343	-0.9865
brca_metabric	MB-0344	-0.8056
brca_metabric	MB-0345	0.1561
brca_metabric	MB-0346	-0.6133
brca_metabric	MB-0348	-0.4179
brca_metabric	MB-0349	0.188
brca_metabric	MB-0350	0.4214
brca_metabric	MB-0352	1.1826
brca_metabric	MB-0353	0.8669
brca_metabric	MB-0354	1.4252
brca_metabric	MB-0356	0.7556
brca_metabric	MB-0358	1.9613
brca_metabric	MB-0359	0.1052
brca_metabric	MB-0360	1.9489
brca_metabric	MB-0361	2.2368
brca_metabric	MB-0362	1.9959
brca_metabric	MB-0363	-0.8418
brca_metabric	MB-0364	1.3299
brca_metabric	MB-0365	1.8705
brca_metabric	MB-0366	-0.0436
brca_metabric	MB-0367	-0.0434
brca_metabric	MB-0368	-1.0902
brca_metabric	MB-0369	-0.8109
brca_metabric	MB-0370	-1.0275
brca_metabric	MB-0371	1.3383
brca_metabric	MB-0372	-0.8382
brca_metabric	MB-0373	0.5095
brca_metabric	MB-0374	1.6191
brca_metabric	MB-0375	0.1109
brca_metabric	MB-0377	-0.5328
brca_metabric	MB-0378	0.759
brca_metabric	MB-0379	1.0038
brca_metabric	MB-0380	4.1374
