STUDY_ID	SAMPLE_ID	RASGRF1
brca_metabric	MB-0000	5.209170591
brca_metabric	MB-0002	5.401533475
brca_metabric	MB-0005	5.267739027
brca_metabric	MB-0006	5.386107043
brca_metabric	MB-0008	4.954039806
brca_metabric	MB-0010	5.278327934
brca_metabric	MB-0014	5.479555511
brca_metabric	MB-0022	5.240960525
brca_metabric	MB-0028	5.284001471
brca_metabric	MB-0035	6.507218409
brca_metabric	MB-0036	5.489231239
brca_metabric	MB-0039	5.428373862
brca_metabric	MB-0045	5.580688452
brca_metabric	MB-0046	5.378669422
brca_metabric	MB-0048	5.306417687
brca_metabric	MB-0050	5.53524275
brca_metabric	MB-0053	5.254444607
brca_metabric	MB-0054	5.413683246
brca_metabric	MB-0056	5.495293441
brca_metabric	MB-0060	5.57006249
brca_metabric	MB-0062	5.405946831
brca_metabric	MB-0064	5.343926683
brca_metabric	MB-0066	5.409272155
brca_metabric	MB-0068	5.214852768
brca_metabric	MB-0079	5.475304333
brca_metabric	MB-0081	5.688166987
brca_metabric	MB-0083	5.454671783
brca_metabric	MB-0093	5.461116543
brca_metabric	MB-0095	5.380789187
brca_metabric	MB-0097	5.507494379
brca_metabric	MB-0100	6.08600234
brca_metabric	MB-0101	5.238811262
brca_metabric	MB-0102	5.484229859
brca_metabric	MB-0106	5.206378436
brca_metabric	MB-0107	5.323672474
brca_metabric	MB-0108	5.340282258
brca_metabric	MB-0109	5.247509869
brca_metabric	MB-0111	5.304903734
brca_metabric	MB-0112	5.293404843
brca_metabric	MB-0113	5.423763154
brca_metabric	MB-0114	5.245377938
brca_metabric	MB-0115	5.53500331
brca_metabric	MB-0116	5.531214324
brca_metabric	MB-0117	5.435573288
brca_metabric	MB-0119	4.991113143
brca_metabric	MB-0120	5.821907326
brca_metabric	MB-0121	5.276720988
brca_metabric	MB-0122	5.399166904
brca_metabric	MB-0123	5.329140311
brca_metabric	MB-0124	5.513704436
brca_metabric	MB-0125	5.393407511
brca_metabric	MB-0126	5.3495484
brca_metabric	MB-0127	5.544549571
brca_metabric	MB-0128	5.357789912
brca_metabric	MB-0129	5.238522075
brca_metabric	MB-0130	5.448192671
brca_metabric	MB-0131	5.406020537
brca_metabric	MB-0133	5.342441801
brca_metabric	MB-0134	5.349503022
brca_metabric	MB-0135	5.649914032
brca_metabric	MB-0136	5.359653583
brca_metabric	MB-0138	5.297937824
brca_metabric	MB-0139	5.269069464
brca_metabric	MB-0140	5.674000263
brca_metabric	MB-0142	4.99248164
brca_metabric	MB-0143	5.418276534
brca_metabric	MB-0144	5.335542779
brca_metabric	MB-0145	5.492493589
brca_metabric	MB-0146	5.200047877
brca_metabric	MB-0147	5.317690019
brca_metabric	MB-0148	6.092310432
brca_metabric	MB-0149	5.172084006
brca_metabric	MB-0150	5.323686335
brca_metabric	MB-0151	5.509693359
brca_metabric	MB-0152	5.368323438
brca_metabric	MB-0154	5.414165674
brca_metabric	MB-0155	5.396946195
brca_metabric	MB-0157	5.354951583
brca_metabric	MB-0162	5.447984118
brca_metabric	MB-0163	5.93942141
brca_metabric	MB-0164	5.551235968
brca_metabric	MB-0165	5.521912218
brca_metabric	MB-0166	5.349104155
brca_metabric	MB-0167	5.3904459
brca_metabric	MB-0168	5.557937088
brca_metabric	MB-0170	5.147952314
brca_metabric	MB-0171	5.313674948
brca_metabric	MB-0172	5.36262869
brca_metabric	MB-0173	5.350467855
brca_metabric	MB-0174	5.30210303
brca_metabric	MB-0175	5.280376895
brca_metabric	MB-0176	5.331269772
brca_metabric	MB-0177	5.566811378
brca_metabric	MB-0178	5.212440414
brca_metabric	MB-0179	5.607783382
brca_metabric	MB-0180	5.306981573
brca_metabric	MB-0181	5.514569375
brca_metabric	MB-0184	5.611131541
brca_metabric	MB-0188	5.534920927
brca_metabric	MB-0189	5.722990815
brca_metabric	MB-0191	5.49108465
brca_metabric	MB-0192	5.421150755
brca_metabric	MB-0193	5.46259032
brca_metabric	MB-0194	5.484260761
brca_metabric	MB-0195	5.244820779
brca_metabric	MB-0197	5.315054906
brca_metabric	MB-0198	5.293715069
brca_metabric	MB-0199	5.342924302
brca_metabric	MB-0200	5.42653184
brca_metabric	MB-0201	5.925290841
brca_metabric	MB-0202	5.131524418
brca_metabric	MB-0203	5.54304724
brca_metabric	MB-0204	5.492579569
brca_metabric	MB-0205	5.484218085
brca_metabric	MB-0206	5.586956687
brca_metabric	MB-0207	5.335720364
brca_metabric	MB-0209	5.402892096
brca_metabric	MB-0211	5.423999294
brca_metabric	MB-0214	5.290118709
brca_metabric	MB-0215	5.609905984
brca_metabric	MB-0218	5.324902271
brca_metabric	MB-0220	5.465547232
brca_metabric	MB-0221	5.951929283
brca_metabric	MB-0222	5.299601293
brca_metabric	MB-0223	5.161253292
brca_metabric	MB-0224	5.460123149
brca_metabric	MB-0225	5.481486469
brca_metabric	MB-0226	5.225801664
brca_metabric	MB-0227	5.56248333
brca_metabric	MB-0228	5.354891478
brca_metabric	MB-0229	5.38951007
brca_metabric	MB-0230	5.634094399
brca_metabric	MB-0231	5.194813127
brca_metabric	MB-0232	5.488256812
brca_metabric	MB-0233	5.145467806
brca_metabric	MB-0234	5.241487695
brca_metabric	MB-0235	5.500513261
brca_metabric	MB-0236	5.159546852
brca_metabric	MB-0238	5.470090621
brca_metabric	MB-0239	5.270691065
brca_metabric	MB-0241	5.285380111
brca_metabric	MB-0242	5.566466069
brca_metabric	MB-0243	5.43987063
brca_metabric	MB-0244	5.456966058
brca_metabric	MB-0245	5.466981537
brca_metabric	MB-0247	5.514853431
brca_metabric	MB-0248	5.290159768
brca_metabric	MB-0249	5.486223654
brca_metabric	MB-0253	5.072748187
brca_metabric	MB-0256	5.686156337
brca_metabric	MB-0257	5.58308025
brca_metabric	MB-0258	5.041280392
brca_metabric	MB-0259	5.587604654
brca_metabric	MB-0260	5.246570702
brca_metabric	MB-0261	5.538794668
brca_metabric	MB-0262	5.178308955
brca_metabric	MB-0263	5.500785255
brca_metabric	MB-0264	5.289172731
brca_metabric	MB-0265	5.350887347
brca_metabric	MB-0266	5.276197153
brca_metabric	MB-0268	5.4554372
brca_metabric	MB-0269	5.439642456
brca_metabric	MB-0270	5.486113869
brca_metabric	MB-0272	5.302714581
brca_metabric	MB-0273	5.502038027
brca_metabric	MB-0275	5.44137666
brca_metabric	MB-0278	5.288022726
brca_metabric	MB-0279	5.368508945
brca_metabric	MB-0280	5.419082648
brca_metabric	MB-0282	5.422433145
brca_metabric	MB-0284	5.494007936
brca_metabric	MB-0285	5.318078278
brca_metabric	MB-0286	5.475052609
brca_metabric	MB-0287	5.404649864
brca_metabric	MB-0288	5.475669392
brca_metabric	MB-0289	5.572648954
brca_metabric	MB-0290	5.472525388
brca_metabric	MB-0291	5.348108163
brca_metabric	MB-0292	5.417449048
