STUDY_ID	SAMPLE_ID	RASGRF1
brca_metabric	MB-0000	-0.9722
brca_metabric	MB-0002	0.0843
brca_metabric	MB-0005	-0.6471
brca_metabric	MB-0006	0.0007
brca_metabric	MB-0008	-2.425
brca_metabric	MB-0010	-0.5887
brca_metabric	MB-0014	0.5037
brca_metabric	MB-0022	-0.7954
brca_metabric	MB-0028	-0.5574
brca_metabric	MB-0035	5.6012
brca_metabric	MB-0036	0.5554
brca_metabric	MB-0039	0.2291
brca_metabric	MB-0045	1.04
brca_metabric	MB-0046	-0.0396
brca_metabric	MB-0048	-0.4341
brca_metabric	MB-0050	0.8001
brca_metabric	MB-0053	-0.7206
brca_metabric	MB-0054	0.1499
brca_metabric	MB-0056	0.5877
brca_metabric	MB-0060	0.9841
brca_metabric	MB-0062	0.1081
brca_metabric	MB-0064	-0.2288
brca_metabric	MB-0066	0.1261
brca_metabric	MB-0068	-0.9405
brca_metabric	MB-0079	0.481
brca_metabric	MB-0081	1.601
brca_metabric	MB-0083	0.3705
brca_metabric	MB-0093	0.4051
brca_metabric	MB-0095	-0.0281
brca_metabric	MB-0097	0.6527
brca_metabric	MB-0100	3.6018
brca_metabric	MB-0101	-0.8073
brca_metabric	MB-0102	0.5287
brca_metabric	MB-0106	-0.9878
brca_metabric	MB-0107	-0.3395
brca_metabric	MB-0108	-0.2487
brca_metabric	MB-0109	-0.7591
brca_metabric	MB-0111	-0.4424
brca_metabric	MB-0112	-0.5056
brca_metabric	MB-0113	0.2043
brca_metabric	MB-0114	-0.7709
brca_metabric	MB-0115	0.7988
brca_metabric	MB-0116	0.7787
brca_metabric	MB-0117	0.2679
brca_metabric	MB-0119	-2.2101
brca_metabric	MB-0120	2.2866
brca_metabric	MB-0121	-0.5975
brca_metabric	MB-0122	0.0715
brca_metabric	MB-0123	-0.3096
brca_metabric	MB-0124	0.6857
brca_metabric	MB-0125	0.0403
brca_metabric	MB-0126	-0.1981
brca_metabric	MB-0127	0.8493
brca_metabric	MB-0128	-0.1532
brca_metabric	MB-0129	-0.8089
brca_metabric	MB-0130	0.3357
brca_metabric	MB-0131	0.1085
brca_metabric	MB-0133	-0.2369
brca_metabric	MB-0134	-0.1983
brca_metabric	MB-0135	1.4024
brca_metabric	MB-0136	-0.143
brca_metabric	MB-0138	-0.4807
brca_metabric	MB-0139	-0.6398
brca_metabric	MB-0140	1.5276
brca_metabric	MB-0142	-2.2022
brca_metabric	MB-0143	0.1747
brca_metabric	MB-0144	-0.2745
brca_metabric	MB-0145	0.5728
brca_metabric	MB-0146	-1.0231
brca_metabric	MB-0147	-0.3723
brca_metabric	MB-0148	3.6326
brca_metabric	MB-0149	-1.1796
brca_metabric	MB-0150	-0.3394
brca_metabric	MB-0151	0.6644
brca_metabric	MB-0152	-0.0958
brca_metabric	MB-0154	0.1525
brca_metabric	MB-0155	0.0594
brca_metabric	MB-0157	-0.1686
brca_metabric	MB-0162	0.3346
brca_metabric	MB-0163	2.878
brca_metabric	MB-0164	0.8847
brca_metabric	MB-0165	0.7294
brca_metabric	MB-0166	-0.2005
brca_metabric	MB-0167	0.0242
brca_metabric	MB-0168	0.9201
brca_metabric	MB-0170	-1.3153
brca_metabric	MB-0171	-0.3943
brca_metabric	MB-0172	-0.1268
brca_metabric	MB-0173	-0.1931
brca_metabric	MB-0174	-0.4578
brca_metabric	MB-0175	-0.5774
brca_metabric	MB-0176	-0.2979
brca_metabric	MB-0177	0.9669
brca_metabric	MB-0178	-0.954
brca_metabric	MB-0179	1.1823
brca_metabric	MB-0180	-0.431
brca_metabric	MB-0181	0.6903
brca_metabric	MB-0184	1.1998
brca_metabric	MB-0188	0.7984
brca_metabric	MB-0189	1.7808
brca_metabric	MB-0191	0.5653
brca_metabric	MB-0192	0.1902
brca_metabric	MB-0193	0.413
brca_metabric	MB-0194	0.5289
brca_metabric	MB-0195	-0.774
brca_metabric	MB-0197	-0.3867
brca_metabric	MB-0198	-0.5039
brca_metabric	MB-0199	-0.2342
brca_metabric	MB-0200	0.2192
brca_metabric	MB-0201	2.8074
brca_metabric	MB-0202	-1.4079
brca_metabric	MB-0203	0.8414
brca_metabric	MB-0204	0.5733
brca_metabric	MB-0205	0.5286
brca_metabric	MB-0206	1.073
brca_metabric	MB-0207	-0.2736
brca_metabric	MB-0209	0.0916
brca_metabric	MB-0211	0.2056
brca_metabric	MB-0214	-0.5237
brca_metabric	MB-0215	1.1934
brca_metabric	MB-0218	-0.3327
brca_metabric	MB-0220	0.4288
brca_metabric	MB-0221	2.9403
brca_metabric	MB-0222	-0.4715
brca_metabric	MB-0223	-1.2405
brca_metabric	MB-0224	0.3997
brca_metabric	MB-0225	0.5141
brca_metabric	MB-0226	-0.8796
brca_metabric	MB-0227	0.9441
brca_metabric	MB-0228	-0.169
brca_metabric	MB-0229	0.0192
brca_metabric	MB-0230	1.3199
brca_metabric	MB-0231	-1.0524
brca_metabric	MB-0232	0.5502
brca_metabric	MB-0233	-1.3293
brca_metabric	MB-0234	-0.7925
brca_metabric	MB-0235	0.6156
brca_metabric	MB-0236	-1.2501
brca_metabric	MB-0238	0.4531
brca_metabric	MB-0239	-0.6308
brca_metabric	MB-0241	-0.5498
brca_metabric	MB-0242	0.9651
brca_metabric	MB-0243	0.291
brca_metabric	MB-0244	0.3828
brca_metabric	MB-0245	0.4365
brca_metabric	MB-0247	0.6919
brca_metabric	MB-0248	-0.5235
brca_metabric	MB-0249	0.5394
brca_metabric	MB-0253	-1.7415
brca_metabric	MB-0256	1.5906
brca_metabric	MB-0257	1.0526
brca_metabric	MB-0258	-1.9214
brca_metabric	MB-0259	1.0764
brca_metabric	MB-0260	-0.7643
brca_metabric	MB-0261	0.8189
brca_metabric	MB-0262	-1.1447
brca_metabric	MB-0263	0.617
brca_metabric	MB-0264	-0.5289
brca_metabric	MB-0265	-0.1908
brca_metabric	MB-0266	-0.6004
brca_metabric	MB-0268	0.3746
brca_metabric	MB-0269	0.2898
brca_metabric	MB-0270	0.5388
brca_metabric	MB-0272	-0.4544
brca_metabric	MB-0273	0.6237
brca_metabric	MB-0275	0.2991
brca_metabric	MB-0278	-0.5352
brca_metabric	MB-0279	-0.0948
brca_metabric	MB-0280	0.1791
brca_metabric	MB-0282	0.1971
brca_metabric	MB-0284	0.5809
brca_metabric	MB-0285	-0.3701
brca_metabric	MB-0286	0.4797
brca_metabric	MB-0287	0.1011
brca_metabric	MB-0288	0.483
brca_metabric	MB-0289	0.9977
brca_metabric	MB-0290	0.4661
brca_metabric	MB-0291	-0.2059
brca_metabric	MB-0292	0.1702
brca_metabric	MB-0293	-0.4174
brca_metabric	MB-0294	-0.1867
brca_metabric	MB-0295	-0.3292
brca_metabric	MB-0301	-0.2563
brca_metabric	MB-0302	-0.6768
brca_metabric	MB-0303	-1.8897
brca_metabric	MB-0304	-0.3469
brca_metabric	MB-0305	-1.371
brca_metabric	MB-0306	0.2603
brca_metabric	MB-0307	0.3511
brca_metabric	MB-0308	-0.3226
brca_metabric	MB-0309	-0.3961
brca_metabric	MB-0310	-0.9112
brca_metabric	MB-0311	1.1931
brca_metabric	MB-0312	1.0717
brca_metabric	MB-0313	-1.005
brca_metabric	MB-0314	1.6835
brca_metabric	MB-0315	-0.3828
brca_metabric	MB-0316	0.4045
brca_metabric	MB-0317	0.5741
brca_metabric	MB-0318	2.4282
