STUDY_ID	SAMPLE_ID	SGCG
brca_metabric	MB-0000	1.5276
brca_metabric	MB-0002	-1.0698
brca_metabric	MB-0005	-0.3264
brca_metabric	MB-0006	1.5359
brca_metabric	MB-0008	-0.1637
brca_metabric	MB-0010	-0.0458
brca_metabric	MB-0014	1.3355
brca_metabric	MB-0022	0.6632
brca_metabric	MB-0028	-0.4778
brca_metabric	MB-0035	-0.2855
brca_metabric	MB-0036	-0.2196
brca_metabric	MB-0039	-0.1357
brca_metabric	MB-0045	-0.644
brca_metabric	MB-0046	-0.0774
brca_metabric	MB-0048	0.5707
brca_metabric	MB-0050	-0.45
brca_metabric	MB-0053	0.0574
brca_metabric	MB-0054	-0.5092
brca_metabric	MB-0056	0.3392
brca_metabric	MB-0060	-0.1966
brca_metabric	MB-0062	-0.5696
brca_metabric	MB-0064	-0.2615
brca_metabric	MB-0066	-0.0549
brca_metabric	MB-0068	-0.3361
brca_metabric	MB-0079	-0.1152
brca_metabric	MB-0081	0.45
brca_metabric	MB-0083	5.0322
brca_metabric	MB-0093	-0.3256
brca_metabric	MB-0095	0.1961
brca_metabric	MB-0097	0.3519
brca_metabric	MB-0100	-0.5978
brca_metabric	MB-0101	-0.1129
brca_metabric	MB-0102	-0.4858
brca_metabric	MB-0106	-0.3648
brca_metabric	MB-0107	0.159
brca_metabric	MB-0108	4.9447
brca_metabric	MB-0109	0.127
brca_metabric	MB-0111	0.1521
brca_metabric	MB-0112	2.8678
brca_metabric	MB-0113	-0.1787
brca_metabric	MB-0114	-1.2665
brca_metabric	MB-0115	-0.5483
brca_metabric	MB-0116	-0.9661
brca_metabric	MB-0117	-0.1105
brca_metabric	MB-0119	-0.0967
brca_metabric	MB-0120	-0.9514
brca_metabric	MB-0121	-0.6964
brca_metabric	MB-0122	0.3833
brca_metabric	MB-0123	-0.5518
brca_metabric	MB-0124	-0.1126
brca_metabric	MB-0125	0.044
brca_metabric	MB-0126	-0.0527
brca_metabric	MB-0127	0.2474
brca_metabric	MB-0128	-0.2071
brca_metabric	MB-0129	-0.1685
brca_metabric	MB-0130	0.4074
brca_metabric	MB-0131	-0.3308
brca_metabric	MB-0133	-0.2804
brca_metabric	MB-0134	7.8537
brca_metabric	MB-0135	-0.4102
brca_metabric	MB-0136	-0.2254
brca_metabric	MB-0138	-0.6356
brca_metabric	MB-0139	-0.0627
brca_metabric	MB-0140	-0.4673
brca_metabric	MB-0142	0.0313
brca_metabric	MB-0143	-0.6532
brca_metabric	MB-0144	-0.6088
brca_metabric	MB-0145	0.9213
brca_metabric	MB-0146	1.4219
brca_metabric	MB-0147	-0.0728
brca_metabric	MB-0148	-0.3801
brca_metabric	MB-0149	-0.2443
brca_metabric	MB-0150	-0.7396
brca_metabric	MB-0151	-0.6986
brca_metabric	MB-0152	-0.338
brca_metabric	MB-0154	-0.4869
brca_metabric	MB-0155	0.4314
brca_metabric	MB-0157	-0.4022
brca_metabric	MB-0162	-0.3918
brca_metabric	MB-0163	-0.7502
brca_metabric	MB-0164	-0.3447
brca_metabric	MB-0165	-0.0626
brca_metabric	MB-0166	-0.2843
brca_metabric	MB-0167	0.197
brca_metabric	MB-0168	-0.0714
brca_metabric	MB-0170	-0.9312
brca_metabric	MB-0171	-0.0917
brca_metabric	MB-0172	0.1345
brca_metabric	MB-0173	-0.7444
brca_metabric	MB-0174	-0.4066
brca_metabric	MB-0175	3.0923
brca_metabric	MB-0176	0.0729
brca_metabric	MB-0177	-0.5341
brca_metabric	MB-0178	-0.3403
brca_metabric	MB-0179	-0.4784
brca_metabric	MB-0180	-0.4337
brca_metabric	MB-0181	-0.3008
brca_metabric	MB-0184	-0.5705
brca_metabric	MB-0188	0.021
brca_metabric	MB-0189	-0.0284
brca_metabric	MB-0191	0.1378
brca_metabric	MB-0192	0.0706
brca_metabric	MB-0193	0.5417
brca_metabric	MB-0194	-0.4235
brca_metabric	MB-0195	0.8395
brca_metabric	MB-0197	-0.5245
brca_metabric	MB-0198	-0.402
brca_metabric	MB-0199	-0.1329
brca_metabric	MB-0200	-0.5605
brca_metabric	MB-0201	-0.5269
brca_metabric	MB-0202	-0.2754
brca_metabric	MB-0203	0.1235
brca_metabric	MB-0204	0.0483
brca_metabric	MB-0205	1.6873
brca_metabric	MB-0206	-0.6602
brca_metabric	MB-0207	-0.2045
brca_metabric	MB-0209	0.7302
brca_metabric	MB-0211	-0.3142
brca_metabric	MB-0214	-0.3123
brca_metabric	MB-0215	0.0601
brca_metabric	MB-0218	0.3137
brca_metabric	MB-0220	0.2204
brca_metabric	MB-0221	0.0363
brca_metabric	MB-0222	-0.1874
brca_metabric	MB-0223	6.7971
brca_metabric	MB-0224	-0.2411
brca_metabric	MB-0225	1.2312
brca_metabric	MB-0226	-0.9588
brca_metabric	MB-0227	-0.4755
brca_metabric	MB-0228	-0.5787
brca_metabric	MB-0229	0.7959
brca_metabric	MB-0230	0.3379
brca_metabric	MB-0231	0.1619
brca_metabric	MB-0232	-0.7402
brca_metabric	MB-0233	-0.2753
brca_metabric	MB-0234	0.4114
brca_metabric	MB-0235	-0.0956
brca_metabric	MB-0236	-0.5175
brca_metabric	MB-0238	-0.2488
brca_metabric	MB-0239	1.4272
brca_metabric	MB-0241	0.2617
brca_metabric	MB-0242	-0.5658
brca_metabric	MB-0243	0.0762
brca_metabric	MB-0244	0.0819
brca_metabric	MB-0245	-0.3167
brca_metabric	MB-0247	-0.0106
brca_metabric	MB-0248	-0.4
brca_metabric	MB-0249	-0.9722
brca_metabric	MB-0253	0.0608
brca_metabric	MB-0256	0.3296
brca_metabric	MB-0257	0.1296
brca_metabric	MB-0258	0.0389
brca_metabric	MB-0259	-0.8918
brca_metabric	MB-0260	0.579
brca_metabric	MB-0261	-0.275
brca_metabric	MB-0262	0.3681
brca_metabric	MB-0263	-0.1548
brca_metabric	MB-0264	-0.1839
brca_metabric	MB-0265	0.1237
brca_metabric	MB-0266	0.0845
brca_metabric	MB-0268	-0.0768
brca_metabric	MB-0269	0.1853
brca_metabric	MB-0270	0.4909
brca_metabric	MB-0272	-0.0747
brca_metabric	MB-0273	-0.2785
brca_metabric	MB-0275	2.7138
brca_metabric	MB-0278	-0.1791
brca_metabric	MB-0279	0.2411
brca_metabric	MB-0280	-0.3892
brca_metabric	MB-0282	0.6543
brca_metabric	MB-0284	0.0565
brca_metabric	MB-0285	4.5329
brca_metabric	MB-0286	0.3071
brca_metabric	MB-0287	0.1674
brca_metabric	MB-0288	-0.1622
brca_metabric	MB-0289	2.2372
brca_metabric	MB-0290	-0.3416
brca_metabric	MB-0291	-0.2032
brca_metabric	MB-0292	-0.4288
brca_metabric	MB-0293	-0.192
brca_metabric	MB-0294	-0.2753
brca_metabric	MB-0295	-0.0526
brca_metabric	MB-0301	0.2709
brca_metabric	MB-0302	-0.1318
brca_metabric	MB-0303	-0.6615
brca_metabric	MB-0304	-0.1426
brca_metabric	MB-0305	-0.2518
brca_metabric	MB-0306	5.1955
brca_metabric	MB-0307	-0.5421
brca_metabric	MB-0308	-0.162
brca_metabric	MB-0309	-0.1495
brca_metabric	MB-0310	0.702
brca_metabric	MB-0311	-0.5359
brca_metabric	MB-0312	0.8411
brca_metabric	MB-0313	-0.2508
brca_metabric	MB-0314	0.4117
brca_metabric	MB-0315	-0.2356
brca_metabric	MB-0316	-0.1129
brca_metabric	MB-0317	-0.3067
brca_metabric	MB-0318	-0.2417
brca_metabric	MB-0319	-0.123
brca_metabric	MB-0320	0.4864
brca_metabric	MB-0321	-0.0183
brca_metabric	MB-0322	4.0756
brca_metabric	MB-0324	0.0233
brca_metabric	MB-0325	-0.1866
brca_metabric	MB-0328	-0.735
brca_metabric	MB-0336	0.2749
brca_metabric	MB-0339	0.0144
brca_metabric	MB-0340	-0.6525
brca_metabric	MB-0341	1.6729
brca_metabric	MB-0342	0.2135
brca_metabric	MB-0343	-0.159
brca_metabric	MB-0344	-0.1974
brca_metabric	MB-0345	-0.5364
brca_metabric	MB-0346	-0.1593
brca_metabric	MB-0348	-0.0176
brca_metabric	MB-0349	-0.2338
brca_metabric	MB-0350	-0.2706
brca_metabric	MB-0352	0.006
brca_metabric	MB-0353	-0.1273
brca_metabric	MB-0354	-0.3066
brca_metabric	MB-0356	-0.5505
brca_metabric	MB-0358	0.0538
brca_metabric	MB-0359	2.1619
brca_metabric	MB-0360	-0.3508
brca_metabric	MB-0361	-0.5059
brca_metabric	MB-0362	0.0907
brca_metabric	MB-0363	-0.3622
brca_metabric	MB-0364	-0.1572
brca_metabric	MB-0365	0.4715
brca_metabric	MB-0366	-0.0077
brca_metabric	MB-0367	0.0905
brca_metabric	MB-0368	-0.212
brca_metabric	MB-0369	0.0395
brca_metabric	MB-0370	0.4047
brca_metabric	MB-0371	-0.1636
brca_metabric	MB-0372	0.3361
brca_metabric	MB-0373	0.361
brca_metabric	MB-0374	-0.3217
brca_metabric	MB-0375	0.2021
brca_metabric	MB-0377	-0.1792
brca_metabric	MB-0378	-0.1159
brca_metabric	MB-0379	0.3592
brca_metabric	MB-0380	0.2919
brca_metabric	MB-0381	-0.3702
brca_metabric	MB-0382	0.5079
brca_metabric	MB-0383	0.1735
brca_metabric	MB-0384	-0.4552
brca_metabric	MB-0385	-0.2582
brca_metabric	MB-0386	0.1096
brca_metabric	MB-0388	2.0773
brca_metabric	MB-0389	0.1054
brca_metabric	MB-0391	-0.5787
brca_metabric	MB-0392	-0.6027
brca_metabric	MB-0393	-0.2888
brca_metabric	MB-0394	-0.2454
brca_metabric	MB-0395	-0.7076
brca_metabric	MB-0396	0.3518
brca_metabric	MB-0397	-0.6272
brca_metabric	MB-0398	-0.1452
brca_metabric	MB-0399	-0.1827
brca_metabric	MB-0400	-0.4205
brca_metabric	MB-0401	-0.7781
brca_metabric	MB-0402	-0.075
brca_metabric	MB-0404	-0.5777
brca_metabric	MB-0406	5.5152
