STUDY_ID	SAMPLE_ID	TMEM70
brca_metabric	MB-0000	6.976798543
brca_metabric	MB-0002	6.51413051
brca_metabric	MB-0005	6.313369697
brca_metabric	MB-0006	7.605902228
brca_metabric	MB-0008	8.216219176
brca_metabric	MB-0010	7.099224949
brca_metabric	MB-0014	6.884624009
brca_metabric	MB-0022	7.691953189
brca_metabric	MB-0028	7.911389525
brca_metabric	MB-0035	6.784086757
brca_metabric	MB-0036	6.956876544
brca_metabric	MB-0039	7.531996804
brca_metabric	MB-0045	6.916060301
brca_metabric	MB-0046	7.134259787
brca_metabric	MB-0048	7.20341547
brca_metabric	MB-0050	6.93279896
brca_metabric	MB-0053	8.026667838
brca_metabric	MB-0054	7.427494191
brca_metabric	MB-0056	7.470880701
brca_metabric	MB-0060	6.848142585
brca_metabric	MB-0062	7.781876011
brca_metabric	MB-0064	7.012002969
brca_metabric	MB-0066	6.566362463
brca_metabric	MB-0068	6.992838469
brca_metabric	MB-0079	7.433854103
brca_metabric	MB-0081	6.864178312
brca_metabric	MB-0083	7.424272117
brca_metabric	MB-0093	6.700314348
brca_metabric	MB-0095	6.553789156
brca_metabric	MB-0097	7.229855187
brca_metabric	MB-0100	6.893509688
brca_metabric	MB-0101	6.797743794
brca_metabric	MB-0102	6.266170872
brca_metabric	MB-0106	6.894715352
brca_metabric	MB-0107	7.068213211
brca_metabric	MB-0108	6.646114303
brca_metabric	MB-0109	7.809588248
brca_metabric	MB-0111	6.610852402
brca_metabric	MB-0112	7.025394521
brca_metabric	MB-0113	6.66701512
brca_metabric	MB-0114	6.887712712
brca_metabric	MB-0115	6.578115353
brca_metabric	MB-0116	7.213722228
brca_metabric	MB-0117	6.698111136
brca_metabric	MB-0119	6.946057657
brca_metabric	MB-0120	7.197793568
brca_metabric	MB-0121	6.645656582
brca_metabric	MB-0122	6.908862819
brca_metabric	MB-0123	8.1992824
brca_metabric	MB-0124	7.009598212
brca_metabric	MB-0125	6.903231931
brca_metabric	MB-0126	6.603653412
brca_metabric	MB-0127	7.112271909
brca_metabric	MB-0128	6.957383939
brca_metabric	MB-0129	6.35174311
brca_metabric	MB-0130	6.673764276
brca_metabric	MB-0131	6.784408765
brca_metabric	MB-0133	6.895298318
brca_metabric	MB-0134	6.653447788
brca_metabric	MB-0135	8.139953923
brca_metabric	MB-0136	6.848346659
brca_metabric	MB-0138	6.74710661
brca_metabric	MB-0139	6.687266667
brca_metabric	MB-0140	6.849638879
brca_metabric	MB-0142	6.784775035
brca_metabric	MB-0143	7.027198574
brca_metabric	MB-0144	6.496745197
brca_metabric	MB-0145	6.581563379
brca_metabric	MB-0146	6.790097604
brca_metabric	MB-0147	7.488216369
brca_metabric	MB-0148	6.160140699
brca_metabric	MB-0149	7.916225508
brca_metabric	MB-0150	7.27479462
brca_metabric	MB-0151	7.35462117
brca_metabric	MB-0152	7.138195812
brca_metabric	MB-0154	6.492072566
brca_metabric	MB-0155	6.903392294
brca_metabric	MB-0157	6.955323267
brca_metabric	MB-0162	6.725098191
brca_metabric	MB-0163	6.529636496
brca_metabric	MB-0164	6.228372527
brca_metabric	MB-0165	7.153127716
brca_metabric	MB-0166	6.154850273
brca_metabric	MB-0167	7.085945283
brca_metabric	MB-0168	6.679434324
brca_metabric	MB-0170	6.647544837
brca_metabric	MB-0171	7.06360521
brca_metabric	MB-0172	7.129646219
brca_metabric	MB-0173	8.868025826
brca_metabric	MB-0174	6.535980142
brca_metabric	MB-0175	7.567109794
brca_metabric	MB-0176	7.499005258
brca_metabric	MB-0177	6.820693285
brca_metabric	MB-0178	6.116849285
brca_metabric	MB-0179	6.844267727
brca_metabric	MB-0180	7.53949478
brca_metabric	MB-0181	7.631217962
brca_metabric	MB-0184	6.472902774
brca_metabric	MB-0188	6.16836085
brca_metabric	MB-0189	6.736920879
brca_metabric	MB-0191	7.137619975
brca_metabric	MB-0192	6.802258717
brca_metabric	MB-0193	6.430355737
brca_metabric	MB-0194	6.727712191
brca_metabric	MB-0195	7.178029338
brca_metabric	MB-0197	7.411973541
brca_metabric	MB-0198	7.159224751
brca_metabric	MB-0199	7.036011833
brca_metabric	MB-0200	7.908225755
brca_metabric	MB-0201	6.826461547
brca_metabric	MB-0202	6.841570585
brca_metabric	MB-0203	7.658329917
brca_metabric	MB-0204	7.082077375
brca_metabric	MB-0205	6.529973224
brca_metabric	MB-0206	7.001806812
brca_metabric	MB-0207	6.678326594
brca_metabric	MB-0209	6.687613668
brca_metabric	MB-0211	7.240568122
brca_metabric	MB-0214	6.106256306
brca_metabric	MB-0215	6.797052185
brca_metabric	MB-0218	6.891933607
brca_metabric	MB-0220	6.887103339
brca_metabric	MB-0221	6.429999861
brca_metabric	MB-0222	6.711828661
brca_metabric	MB-0223	5.85498186
brca_metabric	MB-0224	6.851975134
brca_metabric	MB-0225	7.101618584
brca_metabric	MB-0226	6.86267276
brca_metabric	MB-0227	6.609444635
brca_metabric	MB-0228	6.755220529
brca_metabric	MB-0229	6.801515786
brca_metabric	MB-0230	7.453552421
brca_metabric	MB-0231	6.991614506
brca_metabric	MB-0232	6.551363015
brca_metabric	MB-0233	6.486788415
brca_metabric	MB-0234	6.649599804
brca_metabric	MB-0235	6.295875853
brca_metabric	MB-0236	6.877659342
brca_metabric	MB-0238	6.405736589
brca_metabric	MB-0239	6.635680859
brca_metabric	MB-0241	6.839319054
brca_metabric	MB-0242	7.103980162
brca_metabric	MB-0243	6.837258375
brca_metabric	MB-0244	6.897787123
brca_metabric	MB-0245	6.886920121
brca_metabric	MB-0247	7.016524448
brca_metabric	MB-0248	7.019065736
brca_metabric	MB-0249	6.471134254
brca_metabric	MB-0253	6.628565332
brca_metabric	MB-0256	6.621645933
brca_metabric	MB-0257	5.948956418
brca_metabric	MB-0258	6.994955338
brca_metabric	MB-0259	8.590138151
brca_metabric	MB-0260	6.491108085
brca_metabric	MB-0261	6.691283837
brca_metabric	MB-0262	6.043523533
brca_metabric	MB-0263	6.639348877
brca_metabric	MB-0264	7.423822512
brca_metabric	MB-0265	6.451043234
brca_metabric	MB-0266	7.503558914
brca_metabric	MB-0268	7.819880006
brca_metabric	MB-0269	6.731784387
brca_metabric	MB-0270	6.344448063
brca_metabric	MB-0272	6.749364396
brca_metabric	MB-0273	7.127251307
brca_metabric	MB-0275	6.832878037
brca_metabric	MB-0278	6.529636496
brca_metabric	MB-0279	7.05054804
brca_metabric	MB-0280	7.299597711
brca_metabric	MB-0282	7.08295091
brca_metabric	MB-0284	7.368706962
brca_metabric	MB-0285	6.914308798
brca_metabric	MB-0286	6.500841932
brca_metabric	MB-0287	7.735379079
brca_metabric	MB-0288	6.87958342
brca_metabric	MB-0289	6.327225149
brca_metabric	MB-0290	6.992838469
brca_metabric	MB-0291	6.269469944
brca_metabric	MB-0292	6.323902087
brca_metabric	MB-0293	7.029859809
brca_metabric	MB-0294	6.564231611
brca_metabric	MB-0295	6.986064619
brca_metabric	MB-0301	6.47208139
brca_metabric	MB-0302	6.808599965
brca_metabric	MB-0303	6.949363443
brca_metabric	MB-0304	6.528297436
brca_metabric	MB-0305	6.816925368
brca_metabric	MB-0306	6.245002492
brca_metabric	MB-0307	7.100762225
brca_metabric	MB-0308	6.918377132
brca_metabric	MB-0309	6.473551829
brca_metabric	MB-0310	6.95120004
brca_metabric	MB-0311	6.829784274
brca_metabric	MB-0312	8.085395511
brca_metabric	MB-0313	6.539288004
brca_metabric	MB-0314	6.747599041
brca_metabric	MB-0315	6.616731318
brca_metabric	MB-0316	6.682061597
brca_metabric	MB-0317	6.67850299
brca_metabric	MB-0318	7.422012902
brca_metabric	MB-0319	7.428419978
brca_metabric	MB-0320	6.869426994
brca_metabric	MB-0321	7.280469078
brca_metabric	MB-0322	6.699733296
brca_metabric	MB-0324	6.939698389
brca_metabric	MB-0325	7.490781353
brca_metabric	MB-0328	8.256723086
brca_metabric	MB-0336	8.23832369
brca_metabric	MB-0339	6.926254556
brca_metabric	MB-0340	6.160261929
brca_metabric	MB-0341	6.677038212
brca_metabric	MB-0342	7.18422768
brca_metabric	MB-0343	6.910583937
brca_metabric	MB-0344	6.933953709
brca_metabric	MB-0345	6.956417173
brca_metabric	MB-0346	7.48892069
brca_metabric	MB-0348	6.566825558
brca_metabric	MB-0349	6.969004323
brca_metabric	MB-0350	7.38833935
brca_metabric	MB-0352	6.663831777
brca_metabric	MB-0353	6.621985546
brca_metabric	MB-0354	6.612599298
brca_metabric	MB-0356	7.110455354
brca_metabric	MB-0358	7.542322067
brca_metabric	MB-0359	6.700562114
brca_metabric	MB-0360	6.723988478
brca_metabric	MB-0361	7.502410304
brca_metabric	MB-0362	6.788981515
brca_metabric	MB-0363	6.995229539
brca_metabric	MB-0364	6.456038669
brca_metabric	MB-0365	6.595255057
brca_metabric	MB-0366	7.206240992
brca_metabric	MB-0367	7.008377362
brca_metabric	MB-0368	6.86197866
brca_metabric	MB-0369	6.954940478
brca_metabric	MB-0370	7.597661136
brca_metabric	MB-0371	6.997341298
brca_metabric	MB-0372	7.835450486
brca_metabric	MB-0373	6.549134027
brca_metabric	MB-0374	6.690773884
brca_metabric	MB-0375	6.833725502
brca_metabric	MB-0377	7.201797267
brca_metabric	MB-0378	7.147451379
brca_metabric	MB-0379	6.404042192
brca_metabric	MB-0380	8.425317137
brca_metabric	MB-0381	6.463520269
brca_metabric	MB-0382	6.52952015
brca_metabric	MB-0383	6.612659142
brca_metabric	MB-0384	6.418923956
brca_metabric	MB-0385	7.125516653
brca_metabric	MB-0386	6.917866617
brca_metabric	MB-0388	6.674493225
brca_metabric	MB-0389	6.602410588
brca_metabric	MB-0391	6.37918506
brca_metabric	MB-0392	7.54579007
brca_metabric	MB-0393	7.341437529
brca_metabric	MB-0394	6.716256132
brca_metabric	MB-0395	6.460663947
brca_metabric	MB-0396	6.274363751
brca_metabric	MB-0397	6.911296662
brca_metabric	MB-0398	6.8264507
brca_metabric	MB-0399	6.532982354
brca_metabric	MB-0400	7.755453885
brca_metabric	MB-0401	7.558406066
brca_metabric	MB-0402	6.757072256
brca_metabric	MB-0404	7.008757634
brca_metabric	MB-0406	7.125099742
brca_metabric	MB-0410	6.715053623
brca_metabric	MB-0411	7.437637635
brca_metabric	MB-0412	7.790170438
brca_metabric	MB-0413	7.279386981
brca_metabric	MB-0414	7.970571057
brca_metabric	MB-0417	6.784154966
brca_metabric	MB-0418	7.717006474
brca_metabric	MB-0419	7.102547306
brca_metabric	MB-0420	6.557391877
brca_metabric	MB-0421	6.687672313
brca_metabric	MB-0422	6.935331288
brca_metabric	MB-0424	6.879764689
brca_metabric	MB-0425	6.567415352
brca_metabric	MB-0426	6.707327944
brca_metabric	MB-0427	8.217380594
brca_metabric	MB-0428	8.289739666
brca_metabric	MB-0429	7.321714994
brca_metabric	MB-0431	6.357819506
brca_metabric	MB-0434	6.681345228
brca_metabric	MB-0436	7.243584088
brca_metabric	MB-0437	6.653797025
brca_metabric	MB-0438	6.561085375
