STUDY_ID	SAMPLE_ID	TMEM70
brca_metabric	MB-0000	0.1688
brca_metabric	MB-0002	-0.8398
brca_metabric	MB-0005	-1.2969
brca_metabric	MB-0006	1.4503
brca_metabric	MB-0008	2.6068
brca_metabric	MB-0010	0.426
brca_metabric	MB-0014	-0.0274
brca_metabric	MB-0022	1.6182
brca_metabric	MB-0028	2.0391
brca_metabric	MB-0035	-0.244
brca_metabric	MB-0036	0.1266
brca_metabric	MB-0039	1.3047
brca_metabric	MB-0045	0.0398
brca_metabric	MB-0046	0.4988
brca_metabric	MB-0048	0.6417
brca_metabric	MB-0050	0.0755
brca_metabric	MB-0053	2.256
brca_metabric	MB-0054	1.0966
brca_metabric	MB-0056	1.1833
brca_metabric	MB-0060	-0.1056
brca_metabric	MB-0062	1.7919
brca_metabric	MB-0064	0.2432
brca_metabric	MB-0066	-0.7229
brca_metabric	MB-0068	0.2028
brca_metabric	MB-0079	1.1094
brca_metabric	MB-0081	-0.0712
brca_metabric	MB-0083	1.0902
brca_metabric	MB-0093	-0.4266
brca_metabric	MB-0095	-0.7509
brca_metabric	MB-0097	0.696
brca_metabric	MB-0100	-0.0083
brca_metabric	MB-0101	-0.2144
brca_metabric	MB-0102	-1.4062
brca_metabric	MB-0106	-0.0058
brca_metabric	MB-0107	0.3612
brca_metabric	MB-0108	-0.5459
brca_metabric	MB-0109	1.8451
brca_metabric	MB-0111	-0.6239
brca_metabric	MB-0112	0.2714
brca_metabric	MB-0113	-0.4998
brca_metabric	MB-0114	-0.0207
brca_metabric	MB-0115	-0.6967
brca_metabric	MB-0116	0.6629
brca_metabric	MB-0117	-0.4315
brca_metabric	MB-0119	0.1037
brca_metabric	MB-0120	0.6301
brca_metabric	MB-0121	-0.5469
brca_metabric	MB-0122	0.0245
brca_metabric	MB-0123	2.5758
brca_metabric	MB-0124	0.2381
brca_metabric	MB-0125	0.0124
brca_metabric	MB-0126	-0.6399
brca_metabric	MB-0127	0.4531
brca_metabric	MB-0128	0.1277
brca_metabric	MB-0129	-1.2086
brca_metabric	MB-0130	-0.4849
brca_metabric	MB-0131	-0.2433
brca_metabric	MB-0133	-0.0045
brca_metabric	MB-0134	-0.5297
brca_metabric	MB-0135	2.4666
brca_metabric	MB-0136	-0.1052
brca_metabric	MB-0138	-0.3244
brca_metabric	MB-0139	-0.4553
brca_metabric	MB-0140	-0.1024
brca_metabric	MB-0142	-0.2425
brca_metabric	MB-0143	0.2752
brca_metabric	MB-0144	-0.8789
brca_metabric	MB-0145	-0.689
brca_metabric	MB-0146	-0.2309
brca_metabric	MB-0147	1.2178
brca_metabric	MB-0148	-1.6544
brca_metabric	MB-0149	2.0482
brca_metabric	MB-0150	0.788
brca_metabric	MB-0151	0.95
brca_metabric	MB-0152	0.507
brca_metabric	MB-0154	-0.8894
